fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.627906976744186,0.6666666666666666,0.5789473684210527,0.6228070175438596,0.64,0.6956521739130435,0.6955314009661835
PP10,0.6796875,0.7092198581560284,0.6434782608695652,0.6763490595127968,0.6756756756756757,0.746268656716418,0.7257156838757035
PP11,0.7086614173228346,0.7701863354037267,0.6021505376344086,0.6861684365190677,0.6666666666666666,0.9117647058823529,0.8196660019940178
PP12,0.71875,0.775,0.625,0.7,0.6813186813186813,0.8985507246376812,0.7706951608941293
PP13,0.626984126984127,0.6887417218543046,0.5346534653465347,0.6116975936004196,0.611764705882353,0.7878787878787878,0.6577020202020203
PP14,0.6666666666666666,0.7425149700598802,0.5274725274725275,0.6349937487662038,0.6326530612244898,0.8985507246376812,0.6695652173913044
PP15,0.628099173553719,0.7133757961783439,0.47058823529411764,0.5919820157362308,0.5894736842105263,0.9032258064516129,0.644614543466375
PP16,0.6046511627906976,0.6106870229007634,0.5984251968503937,0.6045561098755785,0.6451612903225806,0.5797101449275363,0.6731884057971015
PP17,0.6875,0.7297297297297297,0.6296296296296297,0.6796796796796797,0.675,0.7941176470588235,0.6926470588235294
PP18,0.6974789915966386,0.7631578947368421,0.5813953488372093,0.6722766217870257,0.6987951807228916,0.8405797101449275,0.7856521739130435
PP19,0.6821705426356589,0.7172413793103448,0.6371681415929203,0.6772047604516326,0.6842105263157895,0.7536231884057971,0.6987922705314009
PP2,0.7107438016528925,0.7482014388489209,0.6601941747572816,0.7041978068031012,0.65,0.8813559322033898,0.8074084199015856
PP20,0.6511627906976745,0.6762589928057554,0.6218487394957983,0.6490538661507769,0.6714285714285714,0.6811594202898551,0.6981884057971015
PP21,0.638095238095238,0.6833333333333333,0.5777777777777777,0.6305555555555555,0.5540540540540541,0.8913043478260869,0.7850036845983788
PP22,0.7301587301587301,0.7638888888888888,0.6851851851851852,0.724537037037037,0.7142857142857143,0.8208955223880597,0.7681507715658994
PP23,0.828125,0.8428571428571429,0.8103448275862069,0.8266009852216749,0.8194444444444444,0.8676470588235294,0.9041666666666667
PP24,0.7,0.7547169811320755,0.6138613861386139,0.6842891836353446,0.6666666666666666,0.8695652173913043,0.7529104300308862
PP25,0.6875,0.726027397260274,0.6363636363636364,0.6811955168119552,0.6794871794871795,0.7794117647058824,0.7522058823529413
PP3,0.6062992125984252,0.6621621621621622,0.5283018867924528,0.5952320244773075,0.6282051282051282,0.7,0.6576441102756893
PP4,0.640625,0.6617647058823529,0.6166666666666667,0.6392156862745098,0.6716417910447762,0.6521739130434783,0.6900024563989192
PP5,0.744,0.7922077922077922,0.6666666666666666,0.7294372294372294,0.7011494252873564,0.9104477611940298,0.7628667009778692
PP6,0.704,0.7448275862068966,0.6476190476190476,0.6962233169129721,0.6835443037974683,0.8181818181818182,0.7779917822290703
PP7,0.7076923076923077,0.7361111111111112,0.6724137931034483,0.7042624521072798,0.7162162162162162,0.7571428571428571,0.7507142857142858
PP8,0.7241379310344828,0.7714285714285715,0.6521739130434783,0.7118012422360249,0.6666666666666666,0.9152542372881356,0.7607790663098424
PP9,0.6446280991735537,0.6950354609929078,0.5742574257425742,0.634646443367741,0.6447368421052632,0.7538461538461538,0.7357142857142858
MEAN±STD,0.6818±0.0503,0.7258±0.0506,0.6157±0.0658,0.6708±0.0518,0.6667±0.0490,0.8043±0.0934,0.7375±0.0608
