fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.5891472868217055,0.6580645161290323,0.4854368932038835,0.5717507046664578,0.5930232558139535,0.7391304347826086,0.5898550724637681
PP10,0.4453125,0.4740740740740741,0.4132231404958678,0.4436486072849709,0.47058823529411764,0.47761194029850745,0.5025691216050894
PP11,0.6929133858267716,0.7719298245614035,0.5301204819277109,0.6510251532445572,0.6407766990291263,0.9705882352941176,0.7128614157527418
PP12,0.765625,0.8076923076923077,0.7,0.7538461538461538,0.7241379310344828,0.9130434782608695,0.9125521984770326
PP13,0.6428571428571429,0.7305389221556886,0.47058823529411764,0.6005635787249031,0.6039603960396039,0.9242424242424242,0.6431818181818182
PP14,0.7209302325581395,0.7142857142857143,0.7272727272727273,0.7207792207792207,0.7894736842105263,0.6521739130434783,0.7983091787439613
PP15,0.6859504132231405,0.7654320987654321,0.525,0.645216049382716,0.62,1.0,0.6109896118097321
PP16,0.5891472868217055,0.4175824175824176,0.6826347305389222,0.5501085740606699,0.8636363636363636,0.2753623188405797,0.6584541062801932
PP17,0.734375,0.7763157894736842,0.6730769230769231,0.7246963562753037,0.7023809523809523,0.8676470588235294,0.7394607843137255
PP18,0.773109243697479,0.8137931034482758,0.7096774193548387,0.7617352614015573,0.7763157894736842,0.855072463768116,0.8255072463768116
PP19,0.5736434108527132,0.6099290780141844,0.5299145299145299,0.5699218039643572,0.5972222222222222,0.6231884057971014,0.6241545893719808
PP2,0.6694214876033058,0.6,0.7183098591549296,0.6591549295774648,0.7317073170731707,0.5084745762711864,0.7331875341716786
PP20,0.6666666666666666,0.7393939393939394,0.5376344086021505,0.6385141739980449,0.6354166666666666,0.8840579710144928,0.7217391304347827
PP21,0.6285714285714286,0.6976744186046512,0.5185185185185185,0.6080964685615848,0.5421686746987951,0.9782608695652174,0.717391304347826
PP22,0.7063492063492064,0.7612903225806451,0.6185567010309279,0.6899235118057865,0.6704545454545454,0.8805970149253731,0.6969390336453326
PP23,0.703125,0.7361111111111112,0.6607142857142857,0.6984126984126984,0.6973684210526315,0.7794117647058824,0.7431372549019608
PP24,0.7153846153846154,0.783625730994152,0.5842696629213483,0.6839476969577502,0.6568627450980392,0.9710144927536232,0.7576621525302922
PP25,0.734375,0.7901234567901234,0.6382978723404256,0.7142106645652745,0.6808510638297872,0.9411764705882353,0.7919117647058824
PP3,0.5118110236220472,0.5753424657534246,0.42592592592592593,0.5006341958396753,0.5526315789473685,0.6,0.4431077694235589
PP4,0.90625,0.9117647058823529,0.9,0.9058823529411765,0.9253731343283582,0.8985507246376812,0.9629083763203143
PP5,0.72,0.7770700636942676,0.6236559139784946,0.7003629888363812,0.6777777777777778,0.9104477611940298,0.7635100360267628
PP6,0.68,0.7368421052631579,0.5918367346938775,0.6643394199785178,0.6511627906976745,0.8484848484848485,0.7046738572162301
PP7,0.6076923076923076,0.6530612244897959,0.5486725663716814,0.6008668954307386,0.6233766233766234,0.6857142857142857,0.6273809523809524
PP8,0.7068965517241379,0.7763157894736842,0.575,0.6756578947368421,0.6344086021505376,1.0,0.7353553374962831
PP9,0.6859504132231405,0.7710843373493976,0.5,0.6355421686746988,0.6336633663366337,0.9846153846153847,0.7208791208791209
MEAN±STD,0.6742±0.0912,0.7140±0.1098,0.5955±0.1108,0.6548±0.0926,0.6678±0.0984,0.8068±0.1905,0.7095±0.1121
