fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.75
PP10,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.7777777777777777,1.0,0.5,1.0
PP11,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.75
PP12,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.75
PP13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP15,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,1.0
PP16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP18,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP19,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP2,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP21,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,1.0
PP22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP3,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP7,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP8,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
PP9,0.8333333333333334,0.8,0.8571428571428571,0.8285714285714285,0.6666666666666666,1.0,0.875
MEAN±STD,0.9133±0.0850,0.8907±0.1104,0.9270±0.0719,0.9088±0.0900,0.8400±0.1700,0.9800±0.1000,0.9350±0.0893
