fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.6201550387596899,0.6711409395973155,0.5504587155963303,0.6107998275968229,0.625,0.7246376811594203,0.6454106280193237
PP10,0.5625,0.5,0.6111111111111112,0.5555555555555556,0.6222222222222222,0.417910447761194,0.6223391240518718
PP11,0.7480314960629921,0.7808219178082192,0.7037037037037037,0.7422628107559615,0.7307692307692307,0.8382352941176471,0.8337487537387837
PP12,0.8125,0.8333333333333334,0.7857142857142857,0.8095238095238095,0.8,0.8695652173913043,0.8786538933922869
PP13,0.626984126984127,0.6887417218543046,0.5346534653465347,0.6116975936004196,0.611764705882353,0.7878787878787878,0.6643939393939394
PP14,0.7984496124031008,0.8169014084507042,0.7758620689655172,0.7963817387081107,0.7945205479452054,0.8405797101449275,0.8772946859903381
PP15,0.5950413223140496,0.6838709677419355,0.4367816091954023,0.5603262884686688,0.5698924731182796,0.8548387096774194,0.4636413340623291
PP16,0.6434108527131783,0.6290322580645161,0.6567164179104478,0.642874337987482,0.7090909090909091,0.5652173913043478,0.7405797101449274
PP17,0.6484375,0.6218487394957983,0.6715328467153284,0.6466907931055634,0.7254901960784313,0.5441176470588235,0.775735294117647
PP18,0.680672268907563,0.7164179104477612,0.6346153846153846,0.6755166475315728,0.7384615384615385,0.6956521739130435,0.7582608695652174
PP19,0.6744186046511628,0.7123287671232876,0.625,0.6686643835616438,0.6753246753246753,0.7536231884057971,0.7292270531400966
PP2,0.6033057851239669,0.3684210526315789,0.7108433734939759,0.5396322130627774,0.8235294117647058,0.23728813559322035,0.8365226899945326
PP20,0.7364341085271318,0.75,0.7213114754098361,0.735655737704918,0.7611940298507462,0.7391304347826086,0.8367149758454107
PP21,0.580952380952381,0.6615384615384615,0.45,0.5557692307692308,0.5119047619047619,0.9347826086956522,0.7468680913780398
PP22,0.5793650793650794,0.6442953020134228,0.4854368932038835,0.5648660976086531,0.5853658536585366,0.7164179104477612,0.5299772324816595
PP23,0.8046875,0.8299319727891157,0.7706422018348624,0.800287087311989,0.7721518987341772,0.8970588235294118,0.8919117647058824
PP24,0.8538461538461538,0.8689655172413793,0.8347826086956521,0.8518740629685158,0.8289473684210527,0.9130434782608695,0.9291993347588501
PP25,0.6328125,0.6802721088435374,0.5688073394495413,0.6245397241465394,0.6329113924050633,0.7352941176470589,0.6811274509803922
PP3,0.4251968503937008,0.4065040650406504,0.44274809160305345,0.42462607832185195,0.4716981132075472,0.35714285714285715,0.4468671679197996
PP4,0.6796875,0.6821705426356589,0.6771653543307087,0.6796679484831838,0.7333333333333333,0.6376811594202898,0.8039793662490788
PP5,0.56,0.32098765432098764,0.6745562130177515,0.49777193366936956,0.9285714285714286,0.19402985074626866,0.731600617601647
PP6,0.624,0.6178861788617886,0.6299212598425197,0.6239037193521542,0.6666666666666666,0.5757575757575758,0.6702619414483821
PP7,0.6615384615384615,0.7066666666666667,0.6,0.6533333333333333,0.6625,0.7571428571428571,0.7054761904761905
PP8,0.6551724137931034,0.7183098591549296,0.5555555555555556,0.6369327073552427,0.6144578313253012,0.864406779661017,0.7710377639012785
PP9,0.6942148760330579,0.7784431137724551,0.5066666666666667,0.6425548902195609,0.6372549019607843,1.0,0.8027472527472528
MEAN±STD,0.6601±0.0950,0.6676±0.1400,0.6246±0.1119,0.6461±0.1024,0.6893±0.1059,0.6981±0.2135,0.7349±0.1257
