participant,mae_valence,mae_arousal,mae_mean,rmse_valence,rmse_arousal,rmse_mean,r2_valence,r2_arousal,r2_mean,n_test,model
S10,0.9713862914483524,1.0990083819454155,1.0351973366968839,1.1500409858699432,1.3318364690848128,1.240938727477378,0.4362181532570648,0.7435507065665881,0.5898844299118264,103,TorchMLPRegressor
S11,0.830049337125292,0.7877628499386358,0.8089060935319639,1.0356592081583356,1.0527859658394296,1.0442225869988826,0.3001974562928251,0.5857542246725057,0.4429758404826654,102,TorchMLPRegressor
S13,1.9734698393765617,1.4397224176163768,1.7065961284964692,2.372738939383901,1.9216709932717193,2.14720496632781,-0.668947353965458,0.46486394450870594,-0.10204170472837604,102,TorchMLPRegressor
S14,1.8876644372940063,1.163937302196727,1.5258008697453667,2.0483039437257986,1.4677977867940066,1.7580508652599027,-1.1899705134137668,0.4681403452991536,-0.3609150840573066,102,TorchMLPRegressor
S15,1.8641611429361196,2.6426036755243936,2.2533824092302566,2.2023486865843327,3.2046718237925274,2.70351025518843,-4.0555879667177654,-4.5628741448636,-4.309231055790683,78,TorchMLPRegressor
S16,0.7789439432548754,0.812209832547891,0.7955768879013831,1.0210836259054237,1.11006313414575,1.0655733800255869,0.6623221595600242,0.8114898453060687,0.7369060024330465,99,TorchMLPRegressor
S17,1.4986237859725953,0.9430255162715911,1.2208246511220933,2.0305503379210013,1.5800575037808002,1.8053039208509007,0.3867668102160907,0.720665311128937,0.5537160606725138,100,TorchMLPRegressor
S2,1.2861625800530117,1.8697658994545538,1.5779642397537827,1.5134430755626753,2.3850272709081137,1.9492351732353945,-1.5384006294370738,-5.303977927453262,-3.4211892784451683,96,TorchMLPRegressor
S3,1.25627917954416,2.0514994943984832,1.6538893369713215,1.7556589145153079,2.3450642370099475,2.0503615757626275,-7.182556049450541,-1.6195031506690105,-4.4010296000597755,99,TorchMLPRegressor
S4,1.3844291898939345,1.94130479085325,1.6628669903735922,1.5032691849033215,2.6879231673847777,2.0955961761440496,-0.6855767574265808,-0.041285046141979365,-0.36343090178428006,99,TorchMLPRegressor
S5,0.6867523482351592,1.2257793900942562,0.9562658691647077,0.8522478523252276,1.9083159041304463,1.380281878227837,-0.10393503356948597,0.4997757084430635,0.19792033743678877,99,TorchMLPRegressor
S6,1.477539760897858,1.5711784206255517,1.5243590907617048,1.7566978478538051,1.9010155265825792,1.8288566872181922,-2.471735744735965,-8.45527020198908,-5.463502973362523,99,TorchMLPRegressor
S7,0.8190017998820603,0.9190187574637056,0.869010278672883,1.0005265021670824,1.3885818128941605,1.1945541575306216,-4.9898188109650565,0.6579567279595413,-2.1659310415027577,99,TorchMLPRegressor
S8,0.9420271801948548,1.0131573617458343,0.9775922709703445,1.1508838914851574,1.46877228850301,1.3098280899940837,-0.9143427253649656,0.2935250080317102,-0.3104088586666277,100,TorchMLPRegressor
S9,1.8787709558852996,1.2981678620733397,1.5884694089793197,2.3201853508094237,1.9160962705271318,2.1181408106682778,-10.361182572942822,-4.274646089213158,-7.31791433107799,99,TorchMLPRegressor
