participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.970873786407767,0.9613752319109462,0.9778048780487805,0.949404761904762,1.0,103,LogisticRegression
S11,0.8627450980392157,0.725481276371308,0.7894736842105263,0.7533653846153847,0.9029876596358183,102,LogisticRegression
S13,0.9313725490196079,0.9011416097952629,0.90868006993007,0.8983084045584045,0.9974915193804134,102,LogisticRegression
S14,0.8137254901960784,0.6830040526849037,0.6930147058823529,0.7044159544159545,0.9362743097691599,102,LogisticRegression
S15,0.7623762376237624,0.6271644387116948,0.6317476383265858,0.6411649944258639,0.8923622444642781,101,LogisticRegression
S16,0.9595959595959596,0.9360269360269361,0.9482142857142857,0.9278846153846154,0.9970784935947902,99,LogisticRegression
S17,0.94,0.9226999605988968,0.9300595238095238,0.9179166666666667,0.9955841108452951,100,LogisticRegression
S2,0.7291666666666666,0.6932142857142857,0.7086641852770885,0.7221177944862156,0.9176236705370354,96,LogisticRegression
S3,0.9191919191919192,0.8775252525252525,0.8847402597402597,0.8732517482517483,0.9850647159032864,99,LogisticRegression
S4,0.9595959595959596,0.9424679487179488,0.9461382113821138,0.9398148148148149,0.9851495726495727,99,LogisticRegression
S5,0.7676767676767676,0.6918047707787311,0.7194002447980415,0.6822344322344323,0.9319495848192116,99,LogisticRegression
S6,0.9797979797979798,0.9744444444444444,0.9698996655518395,0.9807692307692308,0.9968988328105002,99,LogisticRegression
S7,0.8282828282828283,0.7956738250855898,0.8244047619047619,0.8191391941391941,0.9862208028423384,99,LogisticRegression
S8,0.75,0.7361826532414768,0.8067202194357368,0.7611482720178373,0.9463546611399427,100,LogisticRegression
S9,0.6565656565656566,0.5492784992784993,0.5948067632850241,0.52004477004477,0.8258714155505343,99,LogisticRegression
S10,0.9902912621359223,0.990294886151549,0.9913793103448276,0.9895833333333334,1.0,103,RandomForest
S11,0.8529411764705882,0.6904761904761905,0.6621621621621622,0.7307692307692308,0.8911701655824955,102,RandomForest
S13,0.9313725490196079,0.8847402597402597,0.935515873015873,0.8732517482517482,0.9960787106152276,102,RandomForest
S14,0.9313725490196079,0.8859692933777283,0.9396551724137931,0.8753561253561253,0.9865160287936505,102,RandomForest
S15,0.8514851485148515,0.7363095238095239,0.8174651924651924,0.7474916387959867,0.9821402148576062,101,RandomForest
S16,0.8888888888888888,0.7448107448107448,0.9256756756756757,0.7708333333333334,0.9939653406085858,99,RandomForest
S17,0.95,0.9276700041718815,0.9305555555555556,0.9283333333333333,0.9961747408293461,100,RandomForest
S2,0.78125,0.7203570029656987,0.787037037037037,0.6938095238095239,0.9645576315069283,96,RandomForest
S3,0.9494949494949495,0.9323274764451235,0.9310897435897436,0.9370629370629371,0.9849620516903815,99,RandomForest
S4,0.9696969696969697,0.9522217607973422,0.9764412416851441,0.9375,0.9979645593869733,99,RandomForest
S5,0.8686868686868687,0.6925987449243263,0.6575552825552826,0.7403846153846154,0.9956595014312303,99,RandomForest
S6,0.9393939393939394,0.8997345609887604,0.9432142857142857,0.8862179487179488,0.9955578114086616,99,RandomForest
S7,0.9797979797979798,0.9712851285725659,0.9844907407407407,0.9615384615384616,1.0,99,RandomForest
S8,0.93,0.908248111699758,0.9261363636363636,0.8952759197324415,0.9851958041635296,100,RandomForest
S9,0.8484848484848485,0.6656089193825042,0.6305803571428572,0.7169312169312169,0.9778183803566944,99,RandomForest
S10,1.0,1.0,1.0,1.0,1.0,103,CatBoostClassifier
S11,0.7843137254901961,0.6517857142857143,0.6416666666666666,0.6634615384615384,0.920950279761634,102,CatBoostClassifier
S13,0.9607843137254902,0.9411067193675889,0.9598214285714286,0.9309440559440559,0.9995738636363636,102,CatBoostClassifier
S14,0.9803921568627451,0.9744134536505331,0.9791666666666666,0.9715099715099715,1.0,102,CatBoostClassifier
S15,0.9900990099009901,0.9897274633123689,0.9907407407407407,0.9891304347826086,1.0,101,CatBoostClassifier
S16,0.9797979797979798,0.968013468013468,0.9821428571428572,0.9583333333333334,1.0,99,CatBoostClassifier
S17,0.97,0.9574648041034595,0.9722222222222222,0.9483333333333334,1.0,100,CatBoostClassifier
S2,0.8958333333333334,0.8483455882352942,0.8863636363636364,0.8809523809523809,0.9979365079365079,96,CatBoostClassifier
S3,0.98989898989899,0.9844444444444445,0.9891304347826086,0.9807692307692308,0.9980679996536234,99,CatBoostClassifier
S4,0.98989898989899,0.9833164812942365,0.9886363636363636,0.9791666666666666,1.0,99,CatBoostClassifier
