participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.9514563106796117,0.9271336553945249,0.9366883116883117,0.9196428571428572,0.9967948717948718,103,TorchTemporalConvNet
S11,0.8529411764705882,0.7560131971051511,0.7729202961672473,0.7583612040133779,0.9359618796342628,102,TorchTemporalConvNet
S13,0.9411764705882353,0.9161310795019544,0.9367248062015504,0.9045584045584046,0.9982219653439223,102,TorchTemporalConvNet
S14,0.9313725490196079,0.8735810113519091,0.9396551724137931,0.8653846153846154,0.9997839239412273,102,TorchTemporalConvNet
S15,0.8613861386138614,0.7452481414506731,0.9013052825552825,0.7571070234113713,0.925452645180906,101,TorchTemporalConvNet
S16,0.9292929292929293,0.8673978065802592,0.946969696969697,0.8541666666666666,0.9953421932342574,99,TorchTemporalConvNet
S17,0.93,0.9081602293627611,0.9163690476190476,0.9083333333333334,0.9986455741626794,100,TorchTemporalConvNet
S2,0.7604166666666666,0.7863338998376748,0.828048780487805,0.838421052631579,0.936945092616599,96,TorchTemporalConvNet
S3,0.9595959595959596,0.9366883116883118,0.9666666666666667,0.9230769230769231,0.9982233440341118,99,TorchTemporalConvNet
S4,0.9494949494949495,0.9327349479788505,0.9517441860465116,0.9189814814814815,0.9976053639846743,99,TorchTemporalConvNet
S5,0.9292929292929293,0.8673978065802592,0.946969696969697,0.8541666666666666,0.9840750396666788,99,TorchTemporalConvNet
S6,0.98989898989899,0.9850980392156863,0.9807692307692308,0.9903846153846154,1.0,99,TorchTemporalConvNet
S7,0.9292929292929293,0.8966117986303016,0.9253472222222222,0.8855311355311355,0.9966457960644007,99,TorchTemporalConvNet
S8,0.91,0.8701873810569463,0.8714969241285031,0.8701923076923077,0.9853774981848752,100,TorchTemporalConvNet
S9,0.8383838383838383,0.713585085645556,0.716015466015466,0.7228835978835979,0.9633203065913795,99,TorchTemporalConvNet
