participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.9805825242718447,0.9714566551591868,0.9729166666666667,0.9702380952380952,0.9994419642857143,103,TorchTransformer
S11,0.8529411764705882,0.6904761904761905,0.6621621621621622,0.7307692307692308,0.8909995792203066,102,TorchTransformer
S13,0.9117647058823529,0.8634920634920635,0.8925395256916996,0.8528846153846154,0.9844293675244654,102,TorchTransformer
S14,0.8725490196078431,0.6929824561403508,0.6571428571428571,0.75,0.9926515724444096,102,TorchTransformer
S15,0.7821782178217822,0.6833352393341386,0.6875,0.6833890746934226,0.9016670589812246,101,TorchTransformer
S16,0.9696969696969697,0.9569160997732427,0.95,0.9711538461538461,0.9958092608068989,99,TorchTransformer
S17,0.93,0.91108336951802,0.9566666666666667,0.8866666666666666,0.9926787435565585,100,TorchTransformer
S2,0.8125,0.8389287308436244,0.846039581333699,0.8678947368421053,0.9695219877441702,96,TorchTransformer
S3,0.8686868686868687,0.7756410655419336,0.9122628726287263,0.7736013986013986,0.9948184906118817,99,TorchTransformer
S4,0.9696969696969697,0.9572200584225901,0.9552884615384616,0.9606481481481481,0.9970711759504863,99,TorchTransformer
S5,0.8686868686868687,0.7898178991783256,0.8024193548387097,0.788621794871795,0.934580102535636,99,TorchTransformer
S6,0.9797979797979798,0.9711001489203276,0.9729166666666667,0.969551282051282,0.9993893551994637,99,TorchTransformer
S7,0.8888888888888888,0.8463959465900794,0.8801587301587301,0.836080586080586,0.992513913734844,99,TorchTransformer
S8,0.95,0.9265897973445143,0.9636243386243387,0.907051282051282,0.9963794651294652,100,TorchTransformer
S9,0.8282828282828283,0.6999371831112308,0.7166666666666667,0.710978835978836,0.9629961487001717,99,TorchTransformer
