subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.7475728155339806,0.6710199004975125,0.6811904761904761,0.6710199004975125,0.724974572353213,0.3812384473197782
S11,0.696078431372549,0.6704545454545454,0.6693506221896894,0.6704545454545454,0.6970000799650614,0.3387703889585947
S13,0.9215686274509803,0.8857142857142857,0.9073148568832349,0.8857142857142857,0.9187178733374313,0.8159675236806495
S14,0.9901960784313726,0.9857142857142858,0.9890499194847021,0.9857142857142858,0.9901613463420795,0.9781021897810219
S15,0.8910891089108911,0.902991452991453,0.8856642996809715,0.902991452991453,0.8928151845749563,0.7724759369240222
S16,0.8787878787878788,0.8445701357466064,0.8591081593927894,0.8445701357466064,0.8755965729400265,0.7194142654700048
S17,0.94,0.9348958333333333,0.9348958333333333,0.9348958333333333,0.94,0.8697916666666666
S2,0.5416666666666666,0.6435786435786436,0.5343915343915344,0.6435786435786436,0.5162037037037037,0.22037652270210406
S3,1.0,1.0,1.0,1.0,1.0,1.0
S4,0.8787878787878788,0.8181818181818181,0.8472222222222222,0.8181818181818181,0.8703703703703705,0.7
S5,0.8383838383838383,0.7878787878787878,0.8049261083743842,0.7878787878787878,0.8318555008210181,0.6129032258064516
S6,0.9191919191919192,0.9244343891402715,0.9126984126984127,0.9244343891402715,0.9201539201539202,0.8257042253521126
S7,0.8686868686868687,0.8088235294117647,0.8363636363636364,0.8088235294117647,0.8591368227731864,0.6796116504854369
S8,0.6,0.6065934065934067,0.5894909688013137,0.6065934065934067,0.6091954022988506,0.1951710261569417
S9,0.8888888888888888,0.8560606060606061,0.8696900801723106,0.8560606060606061,0.8863627298472339,0.7401574803149606
