subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8252427184466019,0.7885572139303483,0.7993506493506494,0.7885572139303483,0.8210440045391503,0.6002587322121604
S11,0.7156862745098039,0.6982323232323232,0.6942635658914729,0.6982323232323232,0.7180665754673963,0.38909541511771994
S13,0.9705882352941176,0.9571428571428571,0.9666630351890184,0.9571428571428571,0.9702517895708235,0.933391380060949
S14,0.9705882352941176,0.9639658848614072,0.9671497584541062,0.9639658848614072,0.9704840390262385,0.9343065693430657
S15,0.8811881188118812,0.8333333333333333,0.8577464788732394,0.8333333333333333,0.8743271510249617,0.7202216066481995
S16,0.8888888888888888,0.8522624434389141,0.8696900801723106,0.8522624434389141,0.8853522662305718,0.7408993576017131
S17,0.98,0.984375,0.9785499785499785,0.984375,0.9801115401115402,0.9571183533447685
S2,0.5625,0.5800865800865801,0.5555555555555556,0.5800865800865801,0.5729166666666666,0.14176245210727967
S3,0.9494949494949495,0.9479910714285714,0.9451036930242874,0.9479910714285714,0.9496517800831874,0.8902195608782435
S4,0.8888888888888888,0.8484848484848485,0.8672113156932082,0.8484848484848485,0.8850953135796448,0.736
S5,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S6,0.9494949494949495,0.9404977375565611,0.9436025976985303,0.9404977375565611,0.9493108135013115,0.887218045112782
S7,0.8383838383838383,0.7857466063348417,0.8049261083743842,0.7857466063348417,0.8302234164303129,0.6145985401459855
S8,0.87,0.8406593406593407,0.8518518518518519,0.8406593406593407,0.8674074074074073,0.7045454545454546
S9,0.9797979797979798,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9797979797979798,0.9545454545454546
