subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8640776699029126,0.6567164179104478,0.6274565381708239,0.6567164179104478,0.8154982057547938,0.7019429516329061
S11,0.803921568627451,0.6313131313131314,0.5979493246573991,0.6313131313131314,0.7649668563077406,0.5921631347461016
S13,0.8823529411764706,0.6923076923076922,0.6868884540117417,0.6923076923076922,0.836767583745827,0.7347204161248375
S14,0.8137254901960784,0.5757575757575758,0.5351843900577262,0.5757575757575758,0.7778114537642739,0.6152471709350804
S15,0.7524752475247525,0.6626532887402453,0.6702210997696634,0.6626532887402453,0.7710755922482704,0.5324074074074074
S16,0.8585858585858586,0.6564102564102564,0.6002331002331003,0.6564102564102564,0.8147559511195874,0.7089458210835784
S17,0.88,0.6666666666666666,0.6019357946831341,0.6666666666666666,0.8302929969780581,0.76
S2,0.5729166666666666,0.7407407407407408,0.6103548449054067,0.7407407407407408,0.621007094497263,0.4014598540145985
S3,0.9191919191919192,0.7948717948717948,0.8067236467236468,0.7948717948717948,0.9050263316929984,0.8382352941176471
S4,0.8787878787878788,0.6666666666666666,0.6388888888888888,0.6666666666666666,0.8232323232323232,0.717948717948718
S5,0.8383838383838383,0.6464646464646465,0.6134199134199134,0.6464646464646465,0.7929555293191657,0.6408163265306123
S6,0.9595959595959596,0.9468142968142969,0.9530286138981792,0.9468142968142969,0.959713072756551,0.919805589307412
S7,0.8686868686868687,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.8089990817263545,0.7
S8,0.6,0.5043478260869565,0.461718293395675,0.5043478260869565,0.5962127410870836,0.2864787727434891
S9,0.8181818181818182,0.5822510822510822,0.5363145258103241,0.5822510822510822,0.7757830404889229,0.6110019646365421
