subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8446601941747572,0.6467661691542289,0.6223052601322219,0.6467661691542289,0.8054457117182987,0.6669361358124495
S11,0.8235294117647058,0.7555150163845816,0.7486649440137813,0.7555150163845816,0.8332472006890611,0.6673310382315637
S13,0.8823529411764706,0.8576349024110218,0.8358974358974359,0.8576349024110218,0.8883861236802413,0.7765607886089814
S14,0.7254901960784313,0.5615106286748078,0.5351143493219995,0.5615106286748078,0.7440325249711299,0.5092783505154639
S15,0.6633663366336634,0.6521739130434783,0.6376717022734723,0.6521739130434783,0.7075359748364216,0.4436163318211277
S16,0.8585858585858586,0.9282051282051281,0.836963097398669,0.9282051282051281,0.8761022200223652,0.756414762741652
S17,0.94,0.9375,0.9112985938792391,0.9375,0.941693300248139,0.8882265275707899
S2,0.6979166666666666,0.7513227513227513,0.653400300930341,0.7513227513227513,0.7179294615042279,0.5
S3,0.7272727272727273,0.7174388111888113,0.6750664540138224,0.7174388111888113,0.7560517455254298,0.5364203954214359
S4,0.9292929292929293,0.9083694083694084,0.8900655502281518,0.9083694083694084,0.9326317163715537,0.8607594936708861
S5,0.8080808080808081,0.665945165945166,0.6717314804556223,0.665945165945166,0.8051423207878471,0.6049149338374291
S6,0.9393939393939394,0.9465811965811967,0.9104455179817498,0.9465811965811967,0.9416288488752257,0.8856152512998267
S7,0.7777777777777778,0.805128205128205,0.7534482758620689,0.805128205128205,0.803256704980843,0.6174920969441517
S8,0.68,0.5384057971014493,0.5615525299735826,0.5384057971014493,0.6938922983133509,0.36533121777072597
S9,0.5858585858585859,0.4011544011544011,0.4309008286554397,0.4011544011544011,0.6503851668246214,0.28976377952755905
