subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,0.9901960784313726,0.9936708860759493,0.9861769887518634,0.9936708860759493,0.9902691527891818,0.9723577235772358
S13,0.9705882352941176,0.9318181818181819,0.9542121801586114,0.9318181818181819,0.9697828555333551,0.9085475194261805
S14,0.9019607843137255,0.8551136363636364,0.8551136363636364,0.8551136363636364,0.9019607843137255,0.7102272727272727
S15,0.9702970297029703,0.9347826086956521,0.9556823168056165,0.9347826086956521,0.969541096277245,0.9114811568799299
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.8333333333333334,0.6876190476190476,0.7140729709605361,0.6876190476190476,0.8179448994787789,0.434878587196468
S3,0.8888888888888888,0.75,0.8,0.75,0.8740740740740742,0.6086956521739131
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.95,0.8913043478260869,0.9233011198036509,0.8913043478260869,0.9477373830342077,0.8471882640586796
S9,0.9090909090909091,0.8205128205128205,0.8504280678193722,0.8205128205128205,0.9043600347948174,0.7021063189568706
