subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0,1.0,1.0
S13,0.9803921568627451,0.9545454545454546,0.9700176366843033,0.9545454545454546,0.9800463395234636,0.9400705052878966
S14,0.9411764705882353,0.9295454545454545,0.9157952669235003,0.9295454545454545,0.9420829421476902,0.8316831683168318
S15,0.9900990099009901,0.9782608695652174,0.9857041755130926,0.9782608695652174,0.990020530715492,0.9714123973959807
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.8229166666666666,0.7152380952380952,0.7264957264957265,0.7152380952380952,0.8178418803418802,0.4538152610441767
S3,0.9292929292929293,0.8409090909090908,0.8836662749706228,0.8409090909090908,0.924141532837185,0.7692307692307693
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.95,0.9065499717673631,0.9259368982372982,0.9065499717673631,0.9487335209598577,0.8520710059171598
S9,0.8080808080808081,0.7216117216117216,0.7177794448612154,0.7216117216117216,0.8096933324240152,0.4356435643564356
