subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8446601941747572,0.8034825870646767,0.818661971830986,0.8034825870646767,0.8393272254888554,0.6398601398601399
S11,0.8725490196078431,0.8194444444444444,0.8450029222676798,0.8194444444444444,0.8642211297143054,0.6960110041265475
S13,0.9607843137254902,0.9565031982942431,0.9565031982942431,0.9565031982942431,0.9607843137254902,0.9130063965884861
S14,0.9901960784313726,0.9925373134328358,0.9891983479826326,0.9925373134328358,0.9902282632845576,0.9783989834815756
S15,0.7128712871287128,0.7769230769230769,0.7128712871287128,0.7769230769230769,0.7128712871287128,0.46948016663647885
S16,0.898989898989899,0.8809954751131222,0.8863636363636364,0.8809954751131222,0.8982246709519437,0.7728315741165672
S17,0.95,0.9366319444444444,0.9446841464763802,0.9366319444444444,0.9494855625622304,0.8894783377541998
S2,0.53125,0.6428571428571428,0.5195195195195195,0.6428571428571428,0.49605855855855857,0.21568627450980393
S3,0.9090909090909091,0.8714285714285714,0.8933827928682541,0.8714285714285714,0.9053705657750171,0.788812514813937
S4,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S5,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S6,0.8585858585858586,0.8081447963800905,0.8293103448275863,0.8081447963800905,0.8514454893765239,0.6627737226277373
S7,0.5858585858585859,0.5934389140271493,0.5747511786275536,0.5934389140271493,0.5962717801376785,0.1690890481064482
S8,0.63,0.6230769230769231,0.6129302228266555,0.6230769230769231,0.6373156187885762,0.23236514522821583
S9,0.8585858585858586,0.8636363636363636,0.8472222222222222,0.8636363636363636,0.8611111111111112,0.6956521739130435
