,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.654483048214397,0.007988535508822591,0.5,0.3955675067857805,0.002918448555920024,0.5,0.5178310828572328,0.0,0.6470588235294118,0.5,0.39285714285714285,0.0,85.0
RandomForest,0.9063808756613335,0.06900455496088886,0.8801398063980373,0.8899234231075859,0.08165487814510355,0.8801398063980373,0.9030307749684037,0.7817083137308265,0.8941176470588236,0.8575757575757575,0.8766328011611031,0.7552,85.0
LogisticRegression,0.8884362751666371,0.11939122394009236,0.8855722259258806,0.8811932931529961,0.12085257678392083,0.8855722259258806,0.8894117649274239,0.7661704606967188,0.9176470588235294,0.9136363636363636,0.9105128590765529,0.8210526315789474,85.0
XGBoost,0.9011179185165805,0.11215191329828289,0.8895173977507713,0.8910142233424413,0.11656830401009634,0.8895173977507713,0.9002955593080423,0.7860258476158726,0.8823529411764706,0.8636363636363636,0.8691502463054187,0.7384615384615385,85.0
Conformer,0.8223721461190474,0.1358522703363683,0.8095546146736885,0.8036001144712344,0.14225266230596886,0.8095546146736885,0.8180561009594595,0.6222044985013593,0.8470588235294118,0.8287878787878789,0.8312719499160177,0.6625954198473283,85.0
TinyTCN,0.8219890917561202,0.10880641823596728,0.8046397923159337,0.804447367245567,0.10563627545106889,0.8046397923159337,0.8194201883190986,0.6206610694927669,0.788235294117647,0.7530303030303029,0.7603383458646616,0.5218750000000001,85.0
BiLSTM,0.831634585717281,0.09108359257670229,0.8201603005386477,0.8142290779746043,0.09600395526563321,0.8201603005386477,0.8307232808689864,0.6334133710840947,0.8352941176470589,0.812121212121212,0.8168103448275862,0.6338461538461538,85.0
CNN1D,0.822719716103535,0.13579788385714003,0.8126875248223471,0.8068752709308888,0.13584127799751766,0.8126875248223471,0.8189285131877122,0.6319211588393083,0.8352941176470589,0.8196969696969697,0.8196969696969697,0.6393939393939394,85.0
TSTCC,0.8059462148860993,0.09930157864970628,0.785335119653052,0.7819069179111728,0.1052764426451917,0.785335119653052,0.8025094713303081,0.5717675823523638,0.7764705882352941,0.7515151515151515,0.753397465261872,0.5068702290076337,85.0
DANN_Conformer,0.8390937784574193,0.12047614553394509,0.8257979193501032,0.822005451592882,0.12483246002144813,0.8257979193501032,0.8364554777081913,0.6539330814256135,0.8470588235294118,0.8287878787878789,0.8312719499160177,0.6625954198473283,85.0
Ensemble,0.88872019311202,0.11756142324336269,0.8740537757246493,0.8765077491888582,0.12191504252002888,0.8740537757246493,0.8867397525309523,0.7600171416792325,0.8705882352941177,0.8469696969696969,0.8548362055581431,0.710077519379845,85.0
