subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8543689320388349,0.625,0.6108873974645787,0.625,0.8024760539519123,0.6649316851008458
S11,0.7549019607843137,0.5966183574879227,0.5432098765432098,0.5966183574879227,0.7109658678286128,0.5010761103502249
S13,0.8529411764705882,0.6465400271370421,0.6249011232399937,0.6465400271370421,0.8005062490112324,0.6651346027577151
S14,0.7745098039215687,0.5151515151515151,0.49624682921778746,0.5151515151515151,0.752616561456078,0.537551744529864
S15,0.5148514851485149,0.5114827201783724,0.5149545772187282,0.5114827201783724,0.5909189032110759,0.2530938726230004
S16,0.7272727272727273,0.5897435897435898,0.5904761904761905,0.5897435897435898,0.7383678050344716,0.4809708737864078
S17,0.84,0.6458333333333334,0.5765488991295443,0.6458333333333334,0.8022119815668202,0.6930161166538756
S2,0.6770833333333334,0.7830687830687831,0.6755165692007797,0.7830687830687831,0.725391081871345,0.5059760956175299
S3,0.9191919191919192,0.7948717948717948,0.8035162385367585,0.7948717948717948,0.9061261651320932,0.8396111786148238
S4,0.6363636363636364,0.41558441558441556,0.41558441558441556,0.41558441558441556,0.6363636363636364,0.2666666666666667
S5,0.7777777777777778,0.6161616161616162,0.5967887833559475,0.6161616161616162,0.7596932691912339,0.5399239543726235
S6,0.9292929292929293,0.9414529914529913,0.926840579710145,0.9414529914529913,0.9312955643390426,0.8655152338443626
S7,0.6565656565656566,0.45152625152625153,0.5018939393939394,0.45152625152625153,0.6830234159779615,0.3188992310805342
S8,0.61,0.4907469342251951,0.4595238095238095,0.4907469342251951,0.6110714285714286,0.2937341542919232
S9,0.8080808080808081,0.6767676767676768,0.6361448731544171,0.6767676767676768,0.8102952190969158,0.6421232876712328
