,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Ensemble,0.8894475568059373,0.0809504976106095,0.7863053021947408,0.7969019555047688,0.1406272800292918,0.7863053021947408,0.8803425382745476,0.7760307026196076,0.8941176470588236,0.8161616161616161,0.8349660397074189,0.782051282051282,85.0
Baseline,0.1240838357012933,0.00441841490668821,0.33333333333333326,0.07358193651862607,0.0023292871329143373,0.33333333333333326,0.027421861846708463,0.0,0.17647058823529413,0.3333333333333333,0.09999999999999999,0.0,85.0
RandomForest,0.8795585837472,0.06468380944898085,0.7496066087116271,0.7526260977146843,0.13494386845890852,0.7496066087116271,0.8603522295431174,0.7478020063428114,0.8588235294117647,0.7494949494949495,0.7634180790960453,0.7026239067055393,85.0
LogisticRegression,0.8684717198875801,0.11813909857257604,0.8197458576765845,0.8039633843882027,0.15812388223048937,0.8197458576765845,0.8714292945714343,0.7549071258116867,0.9294117647058824,0.8989898989898989,0.9024232565899233,0.8625336927223719,85.0
XGBoost,0.8880388620148897,0.08234755087526814,0.7891609337568402,0.7982929427522998,0.13851769634810765,0.7891609337568402,0.8804749482269725,0.7748859719578057,0.8823529411764706,0.8101010101010101,0.8226449275362319,0.7605633802816901,85.0
Conformer,0.8207255817005649,0.10350945814660549,0.672709916644591,0.6384454043326173,0.11223080867366088,0.672709916644591,0.7929398569812809,0.6507448947485952,0.8117647058823529,0.6929292929292931,0.6681159420289854,0.6169014084507043,85.0
TinyTCN,0.7553075151985025,0.16625360748622972,0.6559136510656086,0.6199944014695243,0.15996996677502087,0.6559136510656086,0.7456960070711582,0.568275450059409,0.788235294117647,0.6969696969696969,0.6929118058150316,0.5876010781671159,85.0
BiLSTM,0.7555468097495072,0.11461275413424601,0.6200366671126999,0.5982022734500164,0.1268027209264071,0.6200366671126999,0.7507548801735908,0.5378816538641087,0.7058823529411765,0.6060606060606061,0.5649325214542605,0.43333333333333324,85.0
CNN1D,0.8000808645922655,0.11027547274198304,0.6722445963548874,0.6492165525650889,0.11862879202570643,0.6722445963548874,0.7854058783811009,0.6168382950892443,0.8117647058823529,0.6929292929292931,0.6882806560225915,0.6080691642651297,85.0
TSTCC,0.7417758654982194,0.06790948233775278,0.5936520815790229,0.5668230302858942,0.09814241050777614,0.5936520815790229,0.7303301842309496,0.49653193773724624,0.7058823529411765,0.6222222222222222,0.5769209576549027,0.43931398416886547,85.0
DANN_Conformer,0.7899735475213236,0.10057532713707404,0.6390117016998911,0.6146524806504807,0.11756796537384831,0.6390117016998911,0.770697513984849,0.5855196518130892,0.7647058823529411,0.6363636363636364,0.6134746479574066,0.5156695156695157,85.0
Ensemble,0.8554435080572592,0.0964011146856604,0.719786842125556,0.7015675557305975,0.144648728576227,0.719786842125556,0.8314111061754541,0.7106886597361688,0.8470588235294118,0.7111111111111111,0.7083333333333334,0.6701492537313433,85.0
