subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9805825242718447,0.9583333333333333,0.9720108695652174,0.9583333333333333,0.9802817644575771,0.9440521455730582
S11,0.7843137254901961,0.7528893780957622,0.722962962962963,0.7528893780957622,0.7945388525780683,0.4502694757471828
S13,0.9607843137254902,0.9090909090909092,0.9378048780487804,0.9090909090909092,0.959301769488283,0.8759124087591241
S14,0.803921568627451,0.7761363636363636,0.7419028340080972,0.7761363636363636,0.8138445661665475,0.48795180722891573
S15,0.900990099009901,0.7826086956521738,0.8309906291834003,0.7826086956521738,0.8902209498058241,0.6675444371296906
S16,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S17,0.89,0.9276315789473684,0.8677725688183676,0.9276315789473684,0.8959634571462917,0.7393364928909953
S2,0.9583333333333334,0.9219047619047619,0.9368421052631579,0.9219047619047619,0.9575657894736843,0.873767258382643
S3,0.898989898989899,0.9188311688311688,0.8695995785036881,0.9188311688311688,0.9039925067322327,0.7413793103448276
S4,0.9191919191919192,0.8095238095238095,0.8579626972740315,0.8095238095238095,0.9116560149558715,0.7191489361702128
S5,0.9797979797979798,0.9871794871794872,0.9707792207792207,0.9871794871794872,0.9801259346713892,0.9415929203539823
S6,0.9090909090909091,0.9415584415584415,0.8840598568640208,0.9415584415584415,0.9139882888744307,0.7705382436260624
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.77,0.7286843591191418,0.7047875754075215,0.7286843591191418,0.7797124887690927,0.41326530612244905
S9,0.9797979797979798,0.9697802197802198,0.9697802197802198,0.9697802197802198,0.9797979797979798,0.9395604395604396
