subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9223300970873787,0.9493670886075949,0.9019047619047619,0.9493670886075949,0.9258067498844197,0.8052930056710775
S11,0.9215686274509803,0.8414969730324711,0.875609756097561,0.8414969730324711,0.9171209947393592,0.7525773195876289
S13,1.0,1.0,1.0,1.0,1.0,1.0
S14,0.8235294117647058,0.821590909090909,0.7733333333333333,0.821590909090909,0.8339869281045753,0.5521951219512196
S15,0.9306930693069307,0.8478260869565217,0.8887840176183734,0.8478260869565217,0.9259614021808034,0.7792694349047767
S16,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S17,0.93,0.9539473684210527,0.9122257053291536,0.9539473684210527,0.9327648902821317,0.8255234297108673
S2,0.9479166666666666,0.8980952380952381,0.9195575666163902,0.8980952380952381,0.9464240824534942,0.8393574297188755
S3,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S4,0.98989898989899,0.9935897435897436,0.9851462865716429,0.9935897435897436,0.989983859601264,0.9702970297029703
S5,0.9797979797979798,0.9871794871794872,0.9707792207792207,0.9871794871794872,0.9801259346713892,0.9415929203539823
S6,0.9393939393939394,0.9448051948051948,0.9175,0.9448051948051948,0.9411111111111111,0.8353658536585366
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.84,0.8198757763975155,0.7920997920997921,0.8198757763975155,0.845987525987526,0.58613554061045
S9,0.8383838383838383,0.8104395604395604,0.78,0.8104395604395604,0.8452525252525251,0.5621890547263682
