subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9902912621359223,0.9791666666666667,0.9862170480396093,0.9791666666666667,0.9902185083127738,0.9724377843189724
S11,0.9901960784313726,0.9782608695652174,0.9857442348008385,0.9782608695652174,0.9901179759115386,0.9714924538848518
S13,0.9901960784313726,0.9772727272727273,0.985266502961144,0.9772727272727273,0.9901125263047584,0.9705372616984402
S14,0.8823529411764706,0.9085227272727273,0.8488888888888889,0.9085227272727273,0.8893246187363836,0.7014634146341463
S15,0.9801980198019802,0.971850613154961,0.971850613154961,0.971850613154961,0.9801980198019802,0.9437012263099219
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.9791666666666667,0.9860937282714504,0.9791666666666667,0.9899262967598387,0.9721913236929922
S2,0.8125,0.8114285714285714,0.7626373626373626,0.8114285714285714,0.8238324175824175,0.5317073170731708
S3,0.9393939393939394,0.8961038961038961,0.9093406593406593,0.8961038961038961,0.9383394383394384,0.8187919463087249
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,0.98989898989899,0.9761904761904762,0.9846201646729843,0.9761904761904762,0.9898079756709554,0.9692451071761417
S6,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.88,0.7543760587238848,0.7967479674796748,0.7543760587238848,0.8669918699186993,0.6002664890073285
S9,0.8181818181818182,0.7802197802197802,0.7525,0.7802197802197802,0.8259090909090909,0.5074626865671642
