,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.22143311608430968,0.008287032537577715,0.5,0.18125206270367436,0.005532197416120051,0.5,0.08036210676127074,0.0,0.18823529411764706,0.5,0.15841584158415842,0.0,85.0
RandomForest,0.9718414727204684,0.03058558813012694,0.9504387568317775,0.9572497357907549,0.04758745139884986,0.9504387568317775,0.9712318548824709,0.9147002114494895,0.9882352941176471,0.96875,0.9802738454397772,0.9605568445475638,85.0
LogisticRegression,0.948860406476589,0.06465192531452163,0.9328719022523371,0.9285372334530743,0.08829584155985352,0.9328719022523371,0.9496761201635605,0.8583803786268337,0.9529411764705882,0.9230072463768115,0.9230072463768115,0.8460144927536232,85.0
XGBoost,0.9723242530135365,0.050735156375095784,0.9612453234535614,0.9608444433417963,0.06974501942983068,0.9612453234535614,0.9727879628450534,0.9219855766196581,0.9647058823529412,0.9302536231884058,0.9408215363193316,0.8816705336426914,85.0
Conformer,0.9328537032696226,0.05571744175999981,0.9215172587440495,0.9080061181265847,0.07319112998558029,0.9215172587440495,0.9343753206143247,0.8170965807844285,0.9411764705882353,0.9157608695652174,0.9059942490599425,0.8120300751879699,85.0
TinyTCN,0.893945833984693,0.08917153544597162,0.8471130126861234,0.8342984825906916,0.14999793203095418,0.8471130126861234,0.8884182860084496,0.678668094481978,0.9058823529411765,0.8220108695652174,0.838095238095238,0.6764985727878212,85.0
BiLSTM,0.913026014061524,0.07183330972521969,0.8905452320452609,0.880817066430579,0.09221256031817386,0.8905452320452609,0.9147820735772008,0.7636375389552404,0.9176470588235294,0.901268115942029,0.8740740740740741,0.7486269539501479,85.0
CNN1D,0.9234235026443821,0.08120140022595779,0.8813808606217074,0.8741086257947034,0.15247181086318354,0.8813808606217074,0.9167007923153438,0.759383988785098,0.9411764705882353,0.8917572463768115,0.901369227198886,0.802784222737819,85.0
TSTCC,0.9045027344681927,0.06667618770107732,0.8858867800137824,0.8709681665945105,0.08359277550898657,0.8858867800137824,0.9070337584222834,0.7448951733724898,0.9294117647058824,0.9565217391304348,0.8983253588516746,0.7980997624703088,85.0
DANN_Conformer,0.9386875883666799,0.0671259556651857,0.9327453879072872,0.918643430639973,0.08587787465406047,0.9327453879072872,0.9409215767189085,0.8384835226517977,0.9411764705882353,0.9157608695652174,0.9059942490599425,0.8120300751879699,85.0
Ensemble,0.9633159649298262,0.05713493075741103,0.9515743410543182,0.9494462547266066,0.0756662602174313,0.9515743410543182,0.9643029903538083,0.8995007294620889,0.9529411764705882,0.9230072463768115,0.9230072463768115,0.8460144927536232,85.0
