subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.6504854368932039,0.5,0.3941176470588235,0.5,0.5127355796687607,0.0
S11,0.6470588235294118,0.5,0.39285714285714285,0.5,0.5084033613445378,0.0
S13,0.6568627450980392,0.5,0.39644970414201186,0.5,0.5208260819120548,0.0
S14,0.6568627450980392,0.5,0.39644970414201186,0.5,0.5208260819120548,0.0
S15,0.6435643564356436,0.5,0.39156626506024095,0.5,0.5039961827508052,0.0
S16,0.6565656565656566,0.5,0.39634146341463417,0.5,0.5204483863020448,0.0
S17,0.64,0.5,0.3902439024390244,0.5,0.4995121951219512,0.0
S2,0.65625,0.5,0.39622641509433965,0.5,0.5200471698113208,0.0
S3,0.6464646464646465,0.5,0.39263803680981596,0.5,0.507653219309661,0.0
S4,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
S5,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
S6,0.6565656565656566,0.5,0.39634146341463417,0.5,0.5204483863020448,0.0
S7,0.6565656565656566,0.5,0.39634146341463417,0.5,0.5204483863020448,0.0
S8,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
S9,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
