subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.23300970873786409,0.5,0.1889763779527559,0.5,0.08806666157021634,0.0
S11,0.22549019607843138,0.5,0.184,0.5,0.08298039215686275,0.0
S13,0.21568627450980393,0.5,0.1774193548387097,0.5,0.07653383934218849,0.0
S14,0.21568627450980393,0.5,0.1774193548387097,0.5,0.07653383934218849,0.0
S15,0.22772277227722773,0.5,0.18548387096774194,0.5,0.08447780261897159,0.0
S16,0.2222222222222222,0.5,0.18181818181818182,0.5,0.08080808080808081,0.0
S17,0.24,0.5,0.1935483870967742,0.5,0.0929032258064516,0.0
S2,0.21875,0.5,0.1794871794871795,0.5,0.07852564102564102,0.0
S3,0.2222222222222222,0.5,0.18181818181818182,0.5,0.08080808080808081,0.0
S4,0.21212121212121213,0.5,0.175,0.5,0.07424242424242423,0.0
S5,0.21212121212121213,0.5,0.175,0.5,0.07424242424242423,0.0
S6,0.2222222222222222,0.5,0.18181818181818182,0.5,0.08080808080808081,0.0
S7,0.21212121212121213,0.5,0.175,0.5,0.07424242424242423,0.0
S8,0.23,0.5,0.18699186991869918,0.5,0.08601626016260162,0.0
S9,0.21212121212121213,0.5,0.175,0.5,0.07424242424242423,0.0
