subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0,1.0,1.0
S13,0.9901960784313726,0.9772727272727273,0.985266502961144,0.9772727272727273,0.9901125263047584,0.9705372616984402
S14,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.9801980198019802,0.9565217391304348,0.9709436133486766,0.9565217391304348,0.9798733037860748,0.9419206440483037
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9375,0.9428571428571428,0.9142346634901727,0.9428571428571428,0.9393612269207862,0.8288770053475936
S3,0.9393939393939394,0.8636363636363636,0.9023026315789473,0.8636363636363636,0.9357456140350877,0.8057553956834532
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S7,0.98989898989899,0.9761904761904762,0.9846201646729843,0.9761904761904762,0.9898079756709554,0.9692451071761417
S8,0.99,0.9782608695652174,0.985663082437276,0.9782608695652174,0.9899211469534049,0.9713302752293578
S9,0.797979797979798,0.75,0.7250000000000001,0.75,0.8065656565656566,0.45273631840796025
