subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,0.8921568627450981,0.9149697303247111,0.8630872483221477,0.9149697303247111,0.8977233846558758,0.7288545190913485
S13,0.9901960784313726,0.99375,0.9857442348008385,0.99375,0.9902741809512065,0.9714924538848518
S14,0.8235294117647058,0.821590909090909,0.7733333333333333,0.821590909090909,0.8339869281045753,0.5521951219512196
S15,0.8217821782178217,0.6086956521739131,0.6268472906403941,0.6086956521739131,0.7737160415548944,0.3002309468822172
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9375,0.8914285714285715,0.9052631578947368,0.8914285714285715,0.9363486842105262,0.8106508875739645
S3,0.9797979797979798,0.987012987012987,0.9716819221967963,0.987012987012987,0.9801042461225526,0.9433962264150944
S4,0.898989898989899,0.7619047619047619,0.8136295180722892,0.7619047619047619,0.8862495436290618,0.6341463414634146
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.9292929292929293,0.8571428571428572,0.888243831640058,0.8571428571428572,0.9258721711551899,0.7773851590106007
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.78,0.7961603613777527,0.7380952380952381,0.7961603613777527,0.7946666666666666,0.4881340158213122
S9,0.797979797979798,0.7326007326007327,0.7168192219679634,0.7326007326007327,0.8041051244712571,0.43493150684931503
