subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,0.9705882352941176,0.9656026417171162,0.9585309662555902,0.9656026417171162,0.9708074583675455,0.9170731707317074
S13,0.9803921568627451,0.9545454545454546,0.9700176366843033,0.9545454545454546,0.9800463395234636,0.9400705052878966
S14,0.8137254901960784,0.7823863636363637,0.7516339869281046,0.7823863636363637,0.8222478533897221,0.5063678043810494
S15,0.9207920792079208,0.8260869565217391,0.8703465982028241,0.8260869565217391,0.9143863038421942,0.7433290978398983
S16,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S17,0.96,0.9736842105263157,0.9480249480249481,0.9736842105263157,0.9609979209979209,0.8962655601659751
S2,0.9270833333333334,0.8504761904761905,0.882824760244115,0.8504761904761905,0.9233326068003488,0.7666666666666666
S3,0.9393939393939394,0.961038961038961,0.9197297297297298,0.961038961038961,0.9418018018018017,0.8402366863905326
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,0.9797979797979798,0.9871794871794872,0.9707792207792207,0.9871794871794872,0.9801259346713892,0.9415929203539823
S6,0.98989898989899,0.9935064935064934,0.9856209150326798,0.9935064935064934,0.9899782135076252,0.9712460063897763
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.87,0.7936194240542067,0.8074359354169753,0.7936194240542067,0.8667071544956303,0.6153846153846154
S9,0.8686868686868687,0.9166666666666667,0.8363636363636364,0.9166666666666667,0.8782369146005509,0.6796116504854369
