subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.883495145631068,0.8333333333333333,0.8589041095890411,0.8333333333333333,0.876632530921665,0.7223719676549865
S11,0.8235294117647058,0.7941919191919191,0.8014705882352942,0.7941919191919191,0.8209342560553633,0.6036269430051814
S13,0.9901960784313726,0.9857142857142858,0.9890499194847021,0.9857142857142858,0.9901613463420795,0.9781021897810219
S14,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.9405940594059405,0.9166666666666667,0.9324866310160428,0.9166666666666667,0.939204214539101,0.8655126498002663
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.9921875,0.9892136770574911,0.9921875,0.9900291230719448,0.9784296807592753
S2,0.625,0.6421356421356421,0.6168514412416852,0.6421356421356421,0.6343126385809313,0.2548512289780077
S3,0.98989898989899,0.9921875,0.9890207386048575,0.9921875,0.9899303560166375,0.9780439121756487
S4,0.9191919191919192,0.8787878787878788,0.9024630541871921,0.8787878787878788,0.915927750410509,0.8064516129032258
S5,0.9292929292929293,0.9015151515151516,0.9170755055641977,0.9015151515151516,0.9276853735391488,0.8346456692913387
S6,0.9696969696969697,0.9699095022624434,0.9666329625884732,0.9699095022624434,0.9697991032672529,0.9332734217029881
S7,0.8585858585858586,0.801131221719457,0.8257042253521127,0.801131221719457,0.8494095888462087,0.6576086956521738
S8,0.68,0.6813186813186813,0.6666666666666666,0.6813186813186813,0.6866666666666665,0.3402061855670103
S9,0.9797979797979798,0.9848484848484849,0.9776018099547512,0.9848484848484849,0.9799396681749623,0.9552238805970149
