subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8543689320388349,0.8109452736318408,0.8285048285048284,0.8109452736318408,0.8485495087436835,0.6600660066006601
S11,0.8137254901960784,0.8181818181818181,0.8037468354430379,0.8181818181818181,0.8167624720774385,0.6094316807738815
S13,0.9607843137254902,0.9565031982942431,0.9565031982942431,0.9565031982942431,0.9607843137254902,0.9130063965884861
S14,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.8811881188118812,0.8952991452991452,0.8758196721311475,0.8952991452991452,0.8832332413569226,0.753257328990228
S16,0.9696969696969697,0.976923076923077,0.9670622158145725,0.976923076923077,0.969979264755798,0.934190117438511
S17,0.94,0.9288194444444444,0.9340659340659341,0.9288194444444444,0.9396043956043957,0.8681898066783831
S2,0.5104166666666666,0.5331890331890332,0.5060755336617406,0.5331890331890332,0.5205459770114943,0.057644110275689275
S3,0.9393939393939394,0.9337053571428571,0.9337053571428571,0.9337053571428571,0.9393939393939394,0.8674107142857143
S4,0.9494949494949495,0.9242424242424243,0.9407682182601412,0.9242424242424243,0.9483466953851063,0.8818897637795275
S5,0.9696969696969697,0.9545454545454546,0.965079365079365,0.9545454545454546,0.9693121693121693,0.9302325581395349
S6,0.9393939393939394,0.9468325791855203,0.9345238095238095,0.9468325791855203,0.9401154401154399,0.8692781690140845
S7,0.8787878787878788,0.8796380090497737,0.8690476190476191,0.8796380090497737,0.8802308802308801,0.738556338028169
S8,0.76,0.7626373626373626,0.7477931904161412,0.7626373626373626,0.764438839848676,0.4989561586638831
S9,0.9595959595959596,0.9621212121212122,0.9552036199095022,0.9621212121212122,0.9598793363499245,0.9104477611940298
