subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8737864077669902,0.8258706467661692,0.8486150367439231,0.8258706467661692,0.8671939058323774,0.7013160829801472
S11,0.7647058823529411,0.7424242424242424,0.7424242424242424,0.7424242424242424,0.7647058823529411,0.48484848484848486
S13,1.0,1.0,1.0,1.0,1.0,1.0
S14,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.9405940594059405,0.9290598290598291,0.9344155844155844,0.9290598290598291,0.9401954481162402,0.8688879273041973
S16,0.98989898989899,0.9852941176470589,0.988720519539706,0.9852941176470589,0.9898621627002622,0.9774436090225564
S17,1.0,1.0,1.0,1.0,1.0,1.0
S2,0.6770833333333334,0.6962481962481962,0.6690023356690022,0.6962481962481962,0.6851643309976643,0.35416666666666663
S3,0.98989898989899,0.9921875,0.9890207386048575,0.9921875,0.9899303560166375,0.9780439121756487
S4,0.9191919191919192,0.8787878787878788,0.9024630541871921,0.8787878787878788,0.915927750410509,0.8064516129032258
S5,0.8787878787878788,0.8257575757575757,0.8506036217303823,0.8257575757575757,0.8722334004024145,0.7049180327868853
S6,0.9595959595959596,0.9622171945701358,0.9558035714285714,0.9622171945701358,0.9598575036075035,0.9116465863453815
S7,0.8080808080808081,0.7626696832579185,0.7749192293885365,0.7626696832579185,0.8019720962164422,0.5524625267665952
S8,0.56,0.5362637362637362,0.5331069609507639,0.5362637362637362,0.566723259762309,0.06976744186046502
S9,0.9696969696969697,0.9696969696969697,0.9661615586191181,0.9696969696969697,0.9698074512931524,0.9323308270676691
