subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.631578947368421,0.5,0.3870967741935484,0.5,0.4889643463497453,0.0
106,0.4666666666666667,0.5,0.3181818181818182,0.5,0.29696969696969694,0.0
108,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
112,1.0,1.0,1.0,1.0,1.0,
113,0.5833333333333334,0.5,0.3684210526315789,0.5,0.4298245614035088,0.0
114,1.0,1.0,1.0,1.0,1.0,
115,1.0,1.0,1.0,1.0,1.0,
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
120,0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0
121,0.6,0.5,0.375,0.5,0.45,0.0
122,1.0,1.0,1.0,1.0,1.0,
127,1.0,1.0,1.0,1.0,1.0,
128,1.0,1.0,1.0,1.0,1.0,
130,0.0,0.0,0.0,0.0,0.0,0.0
131,1.0,1.0,1.0,1.0,1.0,
133,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
136,1.0,1.0,1.0,1.0,1.0,
138,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0
142,1.0,1.0,1.0,1.0,1.0,
144,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0
148,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
150,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
155,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0
170,1.0,1.0,1.0,1.0,1.0,
171,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,1.0,1.0,1.0,1.0,
40,1.0,1.0,1.0,1.0,1.0,
41,1.0,1.0,1.0,1.0,1.0,
44,1.0,1.0,1.0,1.0,1.0,
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
49,1.0,1.0,1.0,1.0,1.0,
52,1.0,1.0,1.0,1.0,1.0,
53,1.0,1.0,1.0,1.0,1.0,
55,1.0,1.0,1.0,1.0,1.0,
56,1.0,1.0,1.0,1.0,1.0,
58,0.5454545454545454,0.5,0.35294117647058826,0.5,0.3850267379679144,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,1.0,1.0,1.0,1.0,
65,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
67,0.6,0.5,0.375,0.5,0.45,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,1.0,1.0,1.0,1.0,
73,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,1.0,1.0,1.0,1.0,
77,1.0,1.0,1.0,1.0,1.0,
84,0.0,0.0,0.0,0.0,0.0,0.0
87,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
89,1.0,1.0,1.0,1.0,1.0,
93,0.7333333333333333,0.5,0.4230769230769231,0.5,0.6205128205128205,0.0
94,0.6,0.5,0.375,0.5,0.45,0.0
95,1.0,1.0,1.0,1.0,1.0,
97,1.0,1.0,1.0,1.0,1.0,
98,0.0,0.0,0.0,0.0,0.0,0.0
99,1.0,1.0,1.0,1.0,1.0,
