subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.3,0.3,0.23076923076923078,0.15,0.46153846153846156,0.0
101,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
103,1.0,1.0,1.0,1.0,1.0,
104,0.47368421052631576,0.43452380952380953,0.43452380952380953,0.43452380952380953,0.47368421052631576,-0.13095238095238093
106,0.3333333333333333,0.33035714285714285,0.33035714285714285,0.33035714285714285,0.3333333333333333,-0.3392857142857142
108,1.0,1.0,1.0,1.0,1.0,1.0
109,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
110,0.3333333333333333,0.3333333333333333,0.325,0.3333333333333333,0.35000000000000003,-0.2857142857142856
112,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
113,0.5833333333333334,0.5857142857142856,0.5804195804195804,0.5857142857142856,0.5862470862470862,0.16666666666666663
114,1.0,1.0,1.0,1.0,1.0,
115,1.0,1.0,1.0,1.0,1.0,
117,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
120,0.3333333333333333,0.2,0.25,0.2,0.4166666666666667,-0.33333333333333326
121,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6,0.16666666666666663
122,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
127,1.0,1.0,1.0,1.0,1.0,
128,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
130,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
131,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
133,0.9166666666666666,0.9166666666666667,0.916083916083916,0.9166666666666667,0.9160839160839161,0.8333333333333334
136,1.0,1.0,1.0,1.0,1.0,
138,0.5555555555555556,0.5833333333333333,0.55,0.5833333333333333,0.5666666666666667,0.1428571428571429
139,1.0,1.0,1.0,1.0,1.0,
142,1.0,1.0,1.0,1.0,1.0,
144,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.5833333333333334,0.5555555555555555,0.16666666666666663
147,0.3,0.3,0.23076923076923078,0.15,0.46153846153846156,0.0
148,0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25
150,1.0,1.0,1.0,1.0,1.0,1.0
155,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
164,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
167,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
170,1.0,1.0,1.0,1.0,1.0,
171,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,
25,1.0,1.0,1.0,1.0,1.0,
29,0.25,0.25,0.2,0.125,0.4,0.0
31,1.0,1.0,1.0,1.0,1.0,
35,1.0,1.0,1.0,1.0,1.0,
40,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
41,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
44,1.0,1.0,1.0,1.0,1.0,
47,0.75,0.75,0.42857142857142855,0.375,0.8571428571428571,0.0
48,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,
52,1.0,1.0,1.0,1.0,1.0,
53,1.0,1.0,1.0,1.0,1.0,
55,1.0,1.0,1.0,1.0,1.0,
56,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
58,0.2727272727272727,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2727272727272727,-0.4666666666666668
61,0.75,0.75,0.42857142857142855,0.375,0.8571428571428571,0.0
63,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
65,0.8,0.8333333333333333,0.8,0.8333333333333333,0.8,0.6153846153846154
67,1.0,1.0,1.0,1.0,1.0,1.0
70,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.4166666666666667,0.9090909090909091,0.0
72,1.0,1.0,1.0,1.0,1.0,
73,1.0,1.0,1.0,1.0,1.0,
76,1.0,1.0,1.0,1.0,1.0,
77,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
84,1.0,1.0,1.0,1.0,1.0,
87,0.7142857142857143,0.8125,0.6971153846153846,0.8125,0.7348901098901099,0.4424778761061947
89,0.75,0.75,0.42857142857142855,0.375,0.8571428571428571,0.0
93,0.6666666666666666,0.5340909090909092,0.5341614906832298,0.5340909090909092,0.6501035196687371,0.07407407407407418
94,0.4,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.34285714285714286,-0.36363636363636354
95,0.75,0.75,0.42857142857142855,0.375,0.8571428571428571,0.0
97,1.0,1.0,1.0,1.0,1.0,
98,1.0,1.0,1.0,1.0,1.0,
99,1.0,1.0,1.0,1.0,1.0,
