subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.6,0.5,0.375,0.5,0.45,0.0
101,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
103,1.0,1.0,1.0,1.0,1.0,
104,0.10526315789473684,0.25,0.047619047619047616,0.25,0.020050125313283207,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
110,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.16666666666666666,0.25,0.07142857142857142,0.25,0.047619047619047616,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0
117,1.0,1.0,1.0,1.0,1.0,
118,1.0,1.0,1.0,1.0,1.0,
120,0.16666666666666666,0.5,0.14285714285714285,0.5,0.047619047619047616,0.0
121,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
130,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0
133,0.16666666666666666,0.25,0.07142857142857142,0.25,0.047619047619047616,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0
138,0.2222222222222222,0.3333333333333333,0.12121212121212122,0.3333333333333333,0.08080808080808081,0.0
139,1.0,1.0,1.0,1.0,1.0,
142,0.0,0.0,0.0,0.0,0.0,0.0
144,0.16666666666666666,0.25,0.07142857142857142,0.25,0.047619047619047616,0.0
147,0.6,0.5,0.375,0.5,0.45,0.0
148,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0
164,1.0,1.0,1.0,1.0,1.0,
167,1.0,1.0,1.0,1.0,1.0,
170,0.0,0.0,0.0,0.0,0.0,0.0
171,1.0,1.0,1.0,1.0,1.0,
174,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,
25,1.0,1.0,1.0,1.0,1.0,
29,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,1.0,1.0,1.0,1.0,
35,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
58,0.18181818181818182,0.25,0.07692307692307693,0.25,0.055944055944055944,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0
67,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
70,1.0,1.0,1.0,1.0,1.0,
72,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,1.0,1.0,1.0,1.0,
76,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,1.0,1.0,1.0,1.0,
87,0.09523809523809523,0.25,0.043478260869565216,0.25,0.016563146997929608,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,1.0,1.0,1.0,1.0,1.0,
99,0.0,0.0,0.0,0.0,0.0,0.0
