participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
100,0.2571428571428571,0.18925925925925927,0.27,0.20636363636363636,,35,LogisticRegression
101,0.16666666666666666,0.12076923076923078,0.17333333333333334,0.10833333333333332,,18,LogisticRegression
103,0.36363636363636365,0.22222222222222224,0.4,0.15714285714285714,,11,LogisticRegression
104,0.25,0.15489177489177489,0.16837662337662335,0.15463203463203462,0.6035569313984409,60,LogisticRegression
106,0.3870967741935484,0.28538011695906434,0.3933333333333333,0.2333333333333333,,31,LogisticRegression
108,0.6,0.37229437229437223,0.4866666666666667,0.38333333333333336,,15,LogisticRegression
109,0.3333333333333333,0.17192982456140352,0.2,0.16333333333333333,,21,LogisticRegression
110,0.16,0.08,0.11428571428571428,0.06153846153846154,,25,LogisticRegression
112,0.375,0.22999999999999998,0.35,0.2,,16,LogisticRegression
113,0.18518518518518517,0.17076923076923076,0.16888888888888887,0.18523809523809526,0.5936652236652236,27,LogisticRegression
114,0.3,0.225,0.5,0.14583333333333331,,10,LogisticRegression
115,0.36363636363636365,0.20714285714285713,0.4,0.15333333333333332,,11,LogisticRegression
117,0.25,0.16,0.4,0.1,,12,LogisticRegression
118,0.4166666666666667,0.20909090909090908,0.2833333333333333,0.1657142857142857,,12,LogisticRegression
120,0.41025641025641024,0.32907563025210085,0.3997668997668998,0.29528985507246375,,39,LogisticRegression
121,0.22727272727272727,0.14285714285714285,0.2,0.11153846153846154,,22,LogisticRegression
122,0.15,0.06666666666666667,0.2,0.04,,20,LogisticRegression
123,0.25,0.1,0.25,0.0625,,12,LogisticRegression
126,0.0,0.0,0.0,0.0,,7,LogisticRegression
127,0.16666666666666666,0.09714285714285714,0.16666666666666666,0.06857142857142857,,12,LogisticRegression
128,0.5454545454545454,0.35416666666666663,0.5,0.275,,11,LogisticRegression
13,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.05555555555555555,,6,LogisticRegression
130,0.38235294117647056,0.3090909090909091,0.4333333333333333,0.274,,34,LogisticRegression
131,0.6956521739130435,0.3935483870967742,0.41666666666666663,0.40789473684210525,,23,LogisticRegression
133,0.56,0.5170494864612512,0.5757575757575757,0.5633333333333332,0.765062656641604,25,LogisticRegression
135,0.0,0.0,0.0,0.0,,7,LogisticRegression
136,0.45454545454545453,0.25,0.4,0.18666666666666668,,11,LogisticRegression
138,0.35,0.29714285714285715,0.33999999999999997,0.29666666666666663,,20,LogisticRegression
139,0.2727272727272727,0.12,0.2,0.08571428571428572,,11,LogisticRegression
141,0.16666666666666666,0.07142857142857142,0.25,0.041666666666666664,,6,LogisticRegression
142,0.0,0.0,0.0,0.0,,11,LogisticRegression
144,0.28125,0.21333333333333332,0.19761904761904764,0.23692307692307693,0.4962397982134824,32,LogisticRegression
147,0.30303030303030304,0.25,0.3311111111111111,0.24824561403508777,,33,LogisticRegression
148,0.4117647058823529,0.2825974025974026,0.36666666666666664,0.23095238095238094,,17,LogisticRegression
150,0.5294117647058824,0.35333333333333333,0.4133333333333333,0.3142857142857142,,17,LogisticRegression
155,0.4,0.27,0.35,0.22000000000000003,,15,LogisticRegression
161,0.0,0.0,0.0,0.0,,6,LogisticRegression
164,0.5454545454545454,0.3068181818181818,0.375,0.26785714285714285,,11,LogisticRegression
167,0.16666666666666666,0.125,0.125,0.125,,6,LogisticRegression
168,0.0,0.0,0.0,0.0,,6,LogisticRegression
170,0.36363636363636365,0.21428571428571427,0.4,0.14666666666666667,,11,LogisticRegression
171,0.4166666666666667,0.2532467532467533,0.375,0.19285714285714284,,12,LogisticRegression
174,0.20833333333333334,0.10416666666666667,0.25,0.06578947368421052,,24,LogisticRegression
181,0.16666666666666666,0.05714285714285714,0.2,0.03333333333333333,,12,LogisticRegression
19,0.23076923076923078,0.15272727272727274,0.4,0.09444444444444444,,13,LogisticRegression
193,0.0,0.0,0.0,0.0,,6,LogisticRegression
25,0.5,0.3904761904761904,0.47222222222222215,0.3333333333333333,,10,LogisticRegression
29,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.2222222222222222,,12,LogisticRegression
31,0.43478260869565216,0.1812807881773399,0.24666666666666667,0.14473684210526314,,23,LogisticRegression
35,0.4,0.2333333333333333,0.4,0.16666666666666666,,10,LogisticRegression
40,0.2727272727272727,0.13333333333333333,0.2,0.1,,11,LogisticRegression
41,0.375,0.30317460317460315,0.5,0.22666666666666666,,16,LogisticRegression
44,0.3,0.19047619047619047,0.4,0.13333333333333333,,10,LogisticRegression
47,0.5,0.210989010989011,0.2666666666666667,0.18285714285714288,,12,LogisticRegression
48,0.4666666666666667,0.2833333333333333,0.2642857142857143,0.31,,15,LogisticRegression
49,0.2857142857142857,0.11428571428571428,0.16,0.08888888888888888,,14,LogisticRegression
