participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
100,0.4857142857142857,0.316657027183343,0.359375,0.29147727272727275,,35,CatBoostClassifier
101,0.3333333333333333,0.15526315789473683,0.14090909090909093,0.175,,18,CatBoostClassifier
103,0.45454545454545453,0.2333333333333333,0.32,0.18571428571428572,,11,CatBoostClassifier
104,0.26666666666666666,0.1539835164835165,0.1940914158305463,0.19272727272727272,0.5376876665728867,60,CatBoostClassifier
106,0.45161290322580644,0.27478728168383343,0.40588235294117647,0.25222222222222224,,31,CatBoostClassifier
108,0.7333333333333333,0.5722222222222222,0.5875,0.575,,15,CatBoostClassifier
109,0.5714285714285714,0.35416666666666663,0.41666666666666663,0.32083333333333336,,21,CatBoostClassifier
110,0.24,0.13535353535353534,0.2111111111111111,0.1054945054945055,,25,CatBoostClassifier
112,0.75,0.34285714285714286,0.4,0.3,,16,CatBoostClassifier
113,0.3333333333333333,0.3187590187590187,0.4033333333333333,0.3176190476190476,0.5960800552104899,27,CatBoostClassifier
114,0.5,0.28181818181818186,0.45,0.22916666666666666,,10,CatBoostClassifier
115,0.8181818181818182,0.4494949494949495,0.5,0.4083333333333333,,11,CatBoostClassifier
117,0.5,0.22285714285714286,0.3666666666666667,0.175,,12,CatBoostClassifier
118,0.5,0.3055555555555555,0.3194444444444444,0.3047619047619048,,12,CatBoostClassifier
120,0.3333333333333333,0.14942233632862645,0.17936507936507937,0.1289855072463768,,39,CatBoostClassifier
121,0.2727272727272727,0.16,0.2833333333333333,0.12692307692307692,,22,CatBoostClassifier
122,0.2,0.11428571428571428,0.2,0.08,,20,CatBoostClassifier
123,0.4166666666666667,0.14705882352941177,0.25,0.10416666666666667,,12,CatBoostClassifier
126,0.5714285714285714,0.18181818181818182,0.25,0.14285714285714285,,7,CatBoostClassifier
127,0.3333333333333333,0.15384615384615385,0.16666666666666666,0.14285714285714285,,12,CatBoostClassifier
128,0.5454545454545454,0.35416666666666663,0.5,0.275,,11,CatBoostClassifier
13,0.5,0.16666666666666666,0.25,0.125,,6,CatBoostClassifier
130,0.5294117647058824,0.3238095238095238,0.3813725490196078,0.28200000000000003,,34,CatBoostClassifier
131,0.5652173913043478,0.18055555555555555,0.19117647058823528,0.17105263157894737,,23,CatBoostClassifier
133,0.68,0.6411111111111111,0.7466666666666667,0.6633333333333333,0.9288671679197995,25,CatBoostClassifier
135,0.2857142857142857,0.08888888888888888,0.2,0.05714285714285714,,7,CatBoostClassifier
136,0.45454545454545453,0.2333333333333333,0.3333333333333333,0.18,,11,CatBoostClassifier
138,0.35,0.2718954248366013,0.42272727272727273,0.2633333333333333,,20,CatBoostClassifier
139,0.36363636363636365,0.18,0.32,0.13571428571428573,,11,CatBoostClassifier
141,0.3333333333333333,0.125,0.25,0.08333333333333333,,6,CatBoostClassifier
142,0.45454545454545453,0.23428571428571426,0.35,0.18,,11,CatBoostClassifier
144,0.1875,0.08571428571428572,0.08,0.09230769230769231,0.4988685388685389,32,CatBoostClassifier
147,0.3939393939393939,0.21115355233002292,0.24,0.18859649122807015,,33,CatBoostClassifier
148,0.47058823529411764,0.27166666666666667,0.3111111111111111,0.2595238095238095,,17,CatBoostClassifier
150,0.8235294117647058,0.6365079365079365,0.6642857142857143,0.6142857142857143,,17,CatBoostClassifier
155,0.4,0.30317460317460315,0.4,0.24666666666666667,,15,CatBoostClassifier
161,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.2222222222222222,,6,CatBoostClassifier
164,0.5454545454545454,0.30833333333333335,0.5,0.24107142857142858,,11,CatBoostClassifier
167,0.16666666666666666,0.1,0.08333333333333333,0.125,,6,CatBoostClassifier
168,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,,6,CatBoostClassifier
170,0.5454545454545454,0.26,0.3333333333333333,0.21333333333333332,,11,CatBoostClassifier
171,0.5833333333333334,0.36190476190476195,0.4166666666666667,0.3523809523809524,,12,CatBoostClassifier
174,0.4583333333333333,0.24608150470219436,0.30833333333333335,0.21842105263157896,,24,CatBoostClassifier
181,0.16666666666666666,0.05714285714285714,0.2,0.03333333333333333,,12,CatBoostClassifier
19,0.3076923076923077,0.18,0.4,0.11666666666666665,,13,CatBoostClassifier
193,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.2222222222222222,,6,CatBoostClassifier
25,0.4,0.25,0.4375,0.1875,,10,CatBoostClassifier
29,0.4166666666666667,0.25555555555555554,0.3333333333333333,0.20833333333333331,,12,CatBoostClassifier
31,0.6521739130434783,0.25757575757575757,0.2857142857142857,0.23684210526315788,,23,CatBoostClassifier
35,0.4,0.2777777777777778,0.41666666666666663,0.20833333333333331,,10,CatBoostClassifier
40,0.7272727272727273,0.5277777777777778,0.6111111111111112,0.4777777777777778,,11,CatBoostClassifier
41,0.4375,0.26666666666666666,0.2833333333333333,0.2533333333333333,,16,CatBoostClassifier
44,0.2,0.08,0.1,0.06666666666666667,,10,CatBoostClassifier
47,0.5833333333333334,0.2666666666666667,0.3333333333333333,0.22285714285714286,,12,CatBoostClassifier
48,0.4,0.3071428571428571,0.4833333333333333,0.2633333333333333,,15,CatBoostClassifier
49,0.7142857142857143,0.48148148148148145,0.5092592592592592,0.45925925925925926,,14,CatBoostClassifier
52,0.45454545454545453,0.23809523809523808,0.29166666666666663,0.21666666666666667,,11,CatBoostClassifier
53,0.6363636363636364,0.4230769230769231,0.4603174603174603,0.41111111111111115,,11,CatBoostClassifier
55,0.45454545454545453,0.22916666666666666,0.25,0.21666666666666667,,11,CatBoostClassifier
56,0.48148148148148145,0.24,0.37777777777777777,0.25606837606837607,,27,CatBoostClassifier
58,0.2608695652173913,0.16421052631578947,0.14153846153846156,0.21333333333333332,0.5757997936016512,23,CatBoostClassifier
61,0.5714285714285714,0.3111111111111111,0.38095238095238093,0.2708333333333333,,14,CatBoostClassifier
63,0.6666666666666666,0.3798076923076923,0.45833333333333337,0.32857142857142857,,12,CatBoostClassifier
65,0.625,0.4913461538461539,0.5041666666666667,0.4803571428571428,,16,CatBoostClassifier
67,0.6190476190476191,0.379047619047619,0.4377777777777778,0.3433333333333334,,21,CatBoostClassifier
70,0.5,0.25757575757575757,0.3068181818181818,0.22527472527472528,,20,CatBoostClassifier
72,0.3125,0.16776315789473684,0.20535714285714285,0.14583333333333331,,16,CatBoostClassifier
73,0.7391304347826086,0.37254901960784315,0.3833333333333333,0.3717105263157895,,23,CatBoostClassifier
76,0.45454545454545453,0.23717948717948717,0.39285714285714285,0.21666666666666667,,11,CatBoostClassifier
77,0.6666666666666666,0.3166666666666667,0.4,0.26285714285714284,,12,CatBoostClassifier
79,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.2222222222222222,,12,CatBoostClassifier
82,0.5,0.16666666666666666,0.25,0.125,,8,CatBoostClassifier
83,0.75,0.2857142857142857,0.3333333333333333,0.25,,8,CatBoostClassifier
84,0.36363636363636365,0.225,0.4,0.16964285714285715,,11,CatBoostClassifier
86,0.625,0.19230769230769232,0.25,0.15625,,8,CatBoostClassifier
87,0.41304347826086957,0.2912820512820513,0.42000000000000004,0.4206015037593985,0.7501030523463129,46,CatBoostClassifier
89,0.3684210526315789,0.23888888888888887,0.32222222222222224,0.21428571428571427,,19,CatBoostClassifier
93,0.44,0.31730769230769235,0.3716666666666667,0.31777777777777777,,50,CatBoostClassifier
94,0.4583333333333333,0.2185823754789272,0.22857142857142856,0.21000000000000002,,24,CatBoostClassifier
95,0.4166666666666667,0.13333333333333333,0.125,0.14285714285714285,,12,CatBoostClassifier
97,0.6923076923076923,0.31862745098039214,0.4722222222222222,0.3,,13,CatBoostClassifier
98,0.5,0.3333333333333333,0.38888888888888884,0.3055555555555555,,10,CatBoostClassifier
99,0.4166666666666667,0.2,0.36,0.15428571428571428,,12,CatBoostClassifier
