participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
100,0.9649122807017544,0.7083333333333334,0.75,0.6785714285714286,,57,GradientBoosting
101,0.8709677419354839,0.65,0.75,0.6071428571428572,,31,GradientBoosting
103,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,,15,GradientBoosting
104,0.5866666666666667,0.2558139534883721,0.23243243243243245,0.4,0.6691135887131143,75,GradientBoosting
106,0.3333333333333333,0.2,0.2,0.2,,48,GradientBoosting
108,0.3076923076923077,0.15384615384615385,0.1111111111111111,0.25,,26,GradientBoosting
109,0.8205128205128205,0.6271186440677966,0.5959595959595959,0.6666666666666666,,39,GradientBoosting
110,0.5116279069767442,0.19642857142857142,0.16176470588235295,0.25,,43,GradientBoosting
112,0.6428571428571429,0.3333333333333333,0.3333333333333333,0.3333333333333333,,28,GradientBoosting
113,0.5952380952380952,0.4463492063492064,0.3765151515151516,0.5666666666666667,0.6638316491025851,42,GradientBoosting
