participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
100,0.8,0.6034858387799564,0.8055555555555557,0.7083333333333334,,35,TorchBiLSTMAttention
101,0.2222222222222222,0.14285714285714285,0.1,0.25,,18,TorchBiLSTMAttention
103,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
104,0.6440677966101694,0.35802469135802467,0.33061224489795915,0.4,0.8151862423290994,59,TorchBiLSTMAttention
106,0.3870967741935484,0.18604651162790697,0.12903225806451613,0.3333333333333333,,31,TorchBiLSTMAttention
108,1.0,1.0,1.0,1.0,,15,TorchBiLSTMAttention
109,0.8095238095238095,0.5714285714285715,0.5185185185185185,0.6666666666666666,,21,TorchBiLSTMAttention
110,0.52,0.25,0.25,0.25,,25,TorchBiLSTMAttention
112,1.0,1.0,1.0,1.0,,16,TorchBiLSTMAttention
113,0.6296296296296297,0.48888888888888893,0.45714285714285713,0.6,0.8509881422924902,27,TorchBiLSTMAttention
114,0.7,0.4666666666666666,0.6666666666666666,0.4166666666666667,,10,TorchBiLSTMAttention
115,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
117,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
118,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
120,0.6153846153846154,0.24021592442645073,0.41911764705882354,0.2708333333333333,,39,TorchBiLSTMAttention
121,0.7727272727272727,0.6129032258064516,0.5740740740740741,0.6666666666666666,,22,TorchBiLSTMAttention
122,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,,20,TorchBiLSTMAttention
123,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
126,1.0,1.0,1.0,1.0,,7,TorchBiLSTMAttention
127,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,,12,TorchBiLSTMAttention
128,0.5454545454545454,0.35294117647058826,0.2727272727272727,0.5,,11,TorchBiLSTMAttention
13,1.0,1.0,1.0,1.0,,6,TorchBiLSTMAttention
130,1.0,1.0,1.0,1.0,,34,TorchBiLSTMAttention
131,1.0,1.0,1.0,1.0,,23,TorchBiLSTMAttention
133,0.8,0.7411764705882353,0.7090909090909091,0.8,1.0,25,TorchBiLSTMAttention
135,0.0,0.0,0.0,0.0,,7,TorchBiLSTMAttention
136,1.0,1.0,1.0,1.0,,11,TorchBiLSTMAttention
138,0.5,0.38636363636363635,0.34375,0.5,,20,TorchBiLSTMAttention
139,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
141,1.0,1.0,1.0,1.0,,6,TorchBiLSTMAttention
142,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
144,1.0,1.0,1.0,1.0,1.0,32,TorchBiLSTMAttention
147,1.0,1.0,1.0,1.0,,33,TorchBiLSTMAttention
148,0.7058823529411765,0.5158730158730158,0.6590909090909091,0.5416666666666667,,17,TorchBiLSTMAttention
150,0.8235294117647058,0.6428571428571428,0.75,0.6,,17,TorchBiLSTMAttention
155,1.0,1.0,1.0,1.0,,15,TorchBiLSTMAttention
161,1.0,1.0,1.0,1.0,,6,TorchBiLSTMAttention
164,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
167,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,6,TorchBiLSTMAttention
168,1.0,1.0,1.0,1.0,,6,TorchBiLSTMAttention
170,1.0,1.0,1.0,1.0,,11,TorchBiLSTMAttention
171,0.8333333333333334,0.8125,0.8888888888888888,0.8,,12,TorchBiLSTMAttention
174,0.7916666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,24,TorchBiLSTMAttention
181,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
19,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.3333333333333333,,13,TorchBiLSTMAttention
193,1.0,1.0,1.0,1.0,,6,TorchBiLSTMAttention
25,1.0,1.0,1.0,1.0,,10,TorchBiLSTMAttention
29,0.0,0.0,0.0,0.0,,12,TorchBiLSTMAttention
31,1.0,1.0,1.0,1.0,,23,TorchBiLSTMAttention
35,1.0,1.0,1.0,1.0,,10,TorchBiLSTMAttention
40,0.6363636363636364,0.4444444444444444,0.6666666666666666,0.39999999999999997,,11,TorchBiLSTMAttention
41,0.75,0.6944444444444445,0.8666666666666667,0.7333333333333334,,16,TorchBiLSTMAttention
44,1.0,1.0,1.0,1.0,,10,TorchBiLSTMAttention
47,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,,12,TorchBiLSTMAttention
48,0.6,0.5,0.5,0.5,,15,TorchBiLSTMAttention
49,1.0,1.0,1.0,1.0,,14,TorchBiLSTMAttention
52,0.8181818181818182,0.5833333333333334,0.6666666666666666,0.5333333333333333,,11,TorchBiLSTMAttention
53,0.5454545454545454,0.35294117647058826,0.2727272727272727,0.5,,11,TorchBiLSTMAttention
55,0.5454545454545454,0.35294117647058826,0.2727272727272727,0.5,,11,TorchBiLSTMAttention
56,0.5555555555555556,0.418546365914787,0.5066666666666667,0.4666666666666666,,27,TorchBiLSTMAttention
58,0.391304347826087,0.33461538461538465,0.32142857142857145,0.35,0.7414035087719298,23,TorchBiLSTMAttention
61,0.5714285714285714,0.25,0.25,0.25,,14,TorchBiLSTMAttention
63,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
65,1.0,1.0,1.0,1.0,,16,TorchBiLSTMAttention
67,0.7619047619047619,0.5384615384615384,0.48148148148148145,0.6666666666666666,,21,TorchBiLSTMAttention
70,0.65,0.3939393939393939,0.325,0.5,,20,TorchBiLSTMAttention
72,1.0,1.0,1.0,1.0,,16,TorchBiLSTMAttention
73,1.0,1.0,1.0,1.0,,23,TorchBiLSTMAttention
76,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
77,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
79,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
82,1.0,1.0,1.0,1.0,,8,TorchBiLSTMAttention
83,1.0,1.0,1.0,1.0,,8,TorchBiLSTMAttention
84,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchBiLSTMAttention
86,1.0,1.0,1.0,1.0,,8,TorchBiLSTMAttention
87,0.7391304347826086,0.4554835007173601,0.43426573426573434,0.5571428571428572,1.0,46,TorchBiLSTMAttention
89,0.6842105263157895,0.5666666666666667,0.5128205128205128,0.6666666666666666,,19,TorchBiLSTMAttention
93,0.9,0.7307692307692308,0.7142857142857143,0.75,,50,TorchBiLSTMAttention
94,0.8333333333333334,0.49193548387096775,0.484375,0.5,,24,TorchBiLSTMAttention
95,0.0,0.0,0.0,0.0,,12,TorchBiLSTMAttention
97,0.6153846153846154,0.38095238095238093,0.3076923076923077,0.5,,13,TorchBiLSTMAttention
98,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,,10,TorchBiLSTMAttention
99,1.0,1.0,1.0,1.0,,12,TorchBiLSTMAttention
