target,modality,n_features,n_windows,acc,bal_acc,macro_f1,kappa
stress,ECG,17,562,0.699288256227758,0.6965755891736133,0.6957032964568455,0.39156448988481884
stress,BVP,17,562,0.5658362989323843,0.5661984151487085,0.5638422391857507,0.13051638429542456
stress,HR,7,562,0.6120996441281139,0.6109395904085624,0.6092492186004975,0.2197029526405625
stress,EDA,14,562,0.603202846975089,0.6003267469383555,0.5993657674246129,0.19930744559870173
stress,TEMP,9,562,0.6067615658362989,0.6061927549655244,0.6042240909568892,0.21002149826360184
stress,ACC,25,562,0.5320284697508897,0.5302819800349903,0.5290087598265242,0.05988983730012343
stress,EEG,60,562,0.599644128113879,0.600764124729855,0.5979012640114476,0.19857778453816033
stress,physio,89,562,0.6868327402135231,0.6864001234949059,0.6843341503267975,0.36947320108113624
stress,physio+EEG (all),149,562,0.6886120996441281,0.6888828856642997,0.6864189264591005,0.3738938898155103
arousal,ECG,17,582,0.584192439862543,0.5333038608900678,0.5205800258696984,0.07151332964164225
arousal,BVP,17,582,0.5292096219931272,0.4824270557029178,0.47036082474226804,-0.03723072119887605
arousal,HR,7,582,0.5257731958762887,0.49145299145299143,0.488041815400306,-0.01763722061730255
arousal,EDA,14,582,0.5876288659793815,0.553676687297377,0.5520607514398963,0.11124685042376126
arousal,TEMP,9,582,0.5601374570446735,0.534888004715591,0.5347315038035401,0.07086732021252717
arousal,ACC,25,582,0.5309278350515464,0.47756410256410253,0.45838318760546093,-0.04821280133000849
arousal,EEG,60,582,0.5652920962199313,0.5055997642204538,0.4806119245570531,0.01223586234654861
arousal,physio,89,582,0.584192439862543,0.535403772472738,0.5246381898693163,0.07568120963931324
arousal,physio+EEG (all),149,582,0.563573883161512,0.5104627173592691,0.49385759480668884,0.022534317226057365
valence,ECG,17,404,0.7871287128712872,0.5042600307773148,0.4623336428350356,0.012898460139780799
valence,BVP,17,404,0.7920792079207921,0.4984423676012461,0.4419889502762431,-0.004915605567071157
valence,HR,7,404,0.7945544554455446,0.5357317118943062,0.5222749355330455,0.10198178896625587
valence,EDA,14,404,0.7970297029702971,0.5238899523326953,0.4970852562545543,0.0713685036721422
valence,TEMP,9,404,0.7846534653465347,0.5116353263521375,0.4810954454860855,0.034077168297240945
valence,ACC,25,404,0.7945544554455446,0.5,0.44275862068965516,0.0
valence,EEG,60,404,0.7945544554455446,0.5,0.44275862068965516,0.0
valence,physio,89,404,0.7945544554455446,0.5,0.44275862068965516,0.0
valence,physio+EEG (all),149,404,0.7945544554455446,0.5,0.44275862068965516,0.0
