subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.5625,0.505050505050505,0.5625,0.5723905723905724,0.1502890173410404
P02,0.6666666666666666,0.3684210526315789,0.4,0.3684210526315789,0.7238095238095239,-0.15748031496062986
P03,0.4444444444444444,0.4935064935064935,0.4375,0.4935064935064935,0.4236111111111111,-0.011235955056179803
P04,0.3684210526315789,0.6470588235294118,0.3522727272727273,0.6470588235294118,0.43301435406698563,0.08064516129032273
P05,0.6111111111111112,0.6666666666666667,0.609907120743034,0.6666666666666667,0.6171310629514964,0.27586206896551724
P06,0.05,0.5,0.047619047619047616,0.5,0.0047619047619047615,0.0
P07,0.19047619047619047,0.32894736842105265,0.18306636155606407,0.32894736842105265,0.24604990737713847,-0.0785498489425982
P08,0.95,0.75,0.8198198198198199,0.75,0.9423423423423424,0.6428571428571428
P09,0.65,0.5625,0.4982078853046595,0.5625,0.5534050179211469,0.14634146341463405
P10,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.2262443438914027
P11,0.15,0.5,0.13043478260869565,0.5,0.03913043478260869,0.0
P12,0.47368421052631576,0.40476190476190477,0.391025641025641,0.40476190476190477,0.45006747638326583,-0.20253164556962022
P13,0.5,0.5625,0.4269005847953216,0.5625,0.3976608187134503,0.10909090909090913
P14,0.5263157894736842,0.45454545454545453,0.3448275862068966,0.45454545454545453,0.3992740471869329,-0.10322580645161294
P15,0.7,0.6666666666666667,0.6703296703296704,0.6666666666666667,0.6901098901098901,0.34782608695652173
P16,0.8,0.8131868131868132,0.7916666666666667,0.8131868131868132,0.8041666666666668,0.5876288659793814
P17,0.47619047619047616,0.42857142857142855,0.4296296296296296,0.42857142857142855,0.4839506172839506,-0.13793103448275867
P18,0.4,0.34065934065934067,0.34065934065934067,0.34065934065934067,0.4,-0.31868131868131866
P19,0.4,0.5054945054945055,0.375,0.5054945054945055,0.3375,0.008264462809917439
P20,0.5238095238095238,0.41911764705882354,0.41666666666666663,0.41911764705882354,0.5714285714285714,-0.11702127659574457
P21,0.6,0.5934065934065934,0.5833333333333333,0.5934065934065934,0.6083333333333333,0.17525773195876282
P23,0.6666666666666666,0.4666666666666667,0.4,0.4666666666666667,0.5714285714285714,-0.0888888888888888
P24,0.8095238095238095,0.8214285714285714,0.7980769230769231,0.8214285714285714,0.8141025641025641,0.6
P25,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P26,0.3333333333333333,0.35,0.25,0.35,0.23809523809523808,-0.2894736842105263
P27,0.7727272727272727,0.5705882352941176,0.5752895752895753,0.5705882352941176,0.7332397332397332,0.17910447761194037
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P30,0.47619047619047616,0.25,0.3225806451612903,0.25,0.6144393241167434,-0.09478672985782
P31,0.782608695652174,0.7803030303030303,0.780952380952381,0.7803030303030303,0.7817805383022775,0.5627376425855513
