subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P02,0.7619047619047619,0.42105263157894735,0.43243243243243246,0.42105263157894735,0.7824967824967827,-0.12903225806451601
P03,0.5,0.5909090909090909,0.4581939799331104,0.5909090909090909,0.4247491638795987,0.1473684210526317
P04,0.8421052631578947,0.6911764705882353,0.6545454545454545,0.6911764705882353,0.8555023923444975,0.3132530120481928
P05,0.6111111111111112,0.7083333333333334,0.609907120743034,0.7083333333333334,0.6026831785345717,0.32258064516129026
P06,0.2,0.5789473684210527,0.1919191919191919,0.5789473684210527,0.26464646464646463,0.018404907975459905
P07,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.021917808219177992
P08,0.6,0.7777777777777778,0.5238095238095238,0.7777777777777778,0.6761904761904762,0.19999999999999996
P09,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4,-0.19047619047619047
P10,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.2262443438914027
P11,0.3,0.5882352941176471,0.3,0.5882352941176471,0.3,0.0604026845637583
P12,0.3684210526315789,0.5,0.2692307692307692,0.5,0.19838056680161942,0.0
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.5263157894736842,0.45454545454545453,0.3448275862068966,0.45454545454545453,0.3992740471869329,-0.10322580645161294
P15,0.65,0.5625,0.4982078853046595,0.5625,0.5534050179211469,0.14634146341463405
P16,0.7,0.5714285714285714,0.53125,0.5714285714285714,0.615625,0.17808219178082196
P17,0.2857142857142857,0.39285714285714285,0.25882352941176473,0.39285714285714285,0.21176470588235294,-0.15384615384615374
P18,0.45,0.5439560439560439,0.4373401534526854,0.5439560439560439,0.4120204603580563,0.06779661016949157
P19,0.45,0.5769230769230769,0.41333333333333333,0.5769230769230769,0.36933333333333335,0.11290322580645151
P20,0.5714285714285714,0.6397058823529411,0.5333333333333333,0.6397058823529411,0.6158730158730158,0.1674008810572688
P21,0.7,0.6373626373626373,0.6428571428571428,0.6373626373626373,0.6857142857142857,0.2941176470588235
P22,0.47619047619047616,0.43333333333333335,0.4296296296296296,0.43333333333333335,0.49947089947089945,-0.1159420289855071
P23,0.6666666666666666,0.5357142857142857,0.505050505050505,0.5357142857142857,0.5993265993265993,0.08695652173913038
P24,0.6190476190476191,0.325,0.38235294117647056,0.325,0.7282913165266106,-0.09090909090909083
P25,0.38095238095238093,0.3909090909090909,0.35764705882352943,0.3909090909090909,0.35182072829131655,-0.21333333333333337
P26,0.6363636363636364,0.48235294117647054,0.48235294117647054,0.48235294117647054,0.6363636363636364,-0.0352941176470587
P27,0.14285714285714285,0.375,0.125,0.375,0.047619047619047616,-0.09883720930232576
P28,0.5714285714285714,0.3,0.36363636363636365,0.3,0.6926406926406927,-0.09248554913294815
P29,0.7391304347826086,0.7424242424242424,0.7386363636363636,0.7424242424242424,0.7381422924901185,0.48120300751879697
