subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.2932692307692308,0.2932692307692308,0.2932692307692308,0.3333333333333333,-0.4134615384615383
P02,0.5714285714285714,0.3157894736842105,0.36363636363636365,0.3157894736842105,0.658008658008658,-0.17391304347826098
P03,0.2222222222222222,0.2597402597402597,0.2125,0.2597402597402597,0.19305555555555556,-0.4157303370786516
P04,0.7368421052631579,0.6323529411764706,0.5622119815668203,0.6323529411764706,0.7804996361872423,0.15929203539823011
P05,0.5,0.375,0.3333333333333333,0.375,0.4444444444444444,-0.2857142857142858
P06,0.2,0.5789473684210527,0.1919191919191919,0.5789473684210527,0.26464646464646463,0.018404907975459905
P07,0.14285714285714285,0.07894736842105263,0.125,0.07894736842105263,0.2261904761904762,-0.20382165605095537
P08,0.85,0.4722222222222222,0.4594594594594595,0.4722222222222222,0.827027027027027,-0.0714285714285714
P09,0.6,0.5208333333333333,0.4666666666666667,0.5208333333333333,0.5199999999999999,0.04761904761904767
P10,0.6842105263157895,0.7857142857142857,0.6761363636363636,0.7857142857142857,0.7003588516746412,0.41237113402061853
P11,0.2,0.5294117647058824,0.1919191919191919,0.5294117647058824,0.13535353535353534,0.018404907975459905
P12,0.5263157894736842,0.47619047619047616,0.47384615384615386,0.47619047619047616,0.5175708502024291,-0.04907975460122693
P13,0.5,0.5625,0.4269005847953216,0.5625,0.3976608187134503,0.10909090909090913
P14,0.5789473684210527,0.6022727272727273,0.5777777777777777,0.6022727272727273,0.5742690058479533,0.19148936170212771
P15,0.65,0.5625,0.4982078853046595,0.5625,0.5534050179211469,0.14634146341463405
P16,0.85,0.8186813186813187,0.829059829059829,0.8186813186813187,0.847008547008547,0.6590909090909092
P17,0.5714285714285714,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5777777777777777,0.06896551724137923
P18,0.4,0.37362637362637363,0.375,0.37362637362637363,0.4125,-0.23711340206185572
P19,0.45,0.5769230769230769,0.41333333333333333,0.5769230769230769,0.36933333333333335,0.11290322580645151
P20,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.6029411764705883,0.6959921798631475,0.16000000000000003
P21,0.45,0.5769230769230769,0.41333333333333333,0.5769230769230769,0.36933333333333335,0.11290322580645151
P22,0.23809523809523808,0.26666666666666666,0.23636363636363636,0.26666666666666666,0.251948051948052,-0.33333333333333326
P23,1.0,1.0,1.0,1.0,1.0,1.0
P24,0.6666666666666666,0.35,0.4,0.35,0.7619047619047619,-0.0888888888888888
P25,0.3333333333333333,0.35,0.25,0.35,0.23809523809523808,-0.2894736842105263
P26,0.4090909090909091,0.40588235294117647,0.3769063180827886,0.40588235294117647,0.4541493365022777,-0.1259842519685037
P27,0.14285714285714285,0.375,0.125,0.375,0.047619047619047616,-0.09883720930232576
P28,0.23809523809523808,0.6,0.2222222222222222,0.6,0.3227513227513227,0.023255813953488302
P29,0.9130434782608695,0.9166666666666667,0.9128787878787878,0.9166666666666667,0.9127140974967062,0.8270676691729324
