subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.46153846153846156,0.36363636363636365,0.46153846153846156,0.45021645021645024,-0.09248554913294815
P02,0.7142857142857143,0.39473684210526316,0.4166666666666667,0.39473684210526316,0.753968253968254,-0.1454545454545455
P03,0.3888888888888889,0.44805194805194803,0.37142857142857144,0.44805194805194803,0.3481481481481481,-0.08791208791208804
P04,0.631578947368421,0.7941176470588236,0.5521885521885521,0.7941176470588236,0.7010455431508062,0.23121387283236994
P05,0.5555555555555556,0.6666666666666666,0.55,0.6666666666666666,0.5333333333333333,0.2500000000000001
P06,0.3,0.631578947368421,0.27083333333333337,0.631578947368421,0.4020833333333334,0.03448275862068961
P07,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P08,0.5,0.7222222222222222,0.45054945054945056,0.7222222222222222,0.5824175824175823,0.13793103448275867
P09,0.45,0.45833333333333337,0.44862155388471175,0.45833333333333337,0.4541353383458646,-0.07843137254901977
P10,0.5789473684210527,0.65,0.5681818181818181,0.65,0.6004784688995215,0.21649484536082464
P11,0.15,0.5,0.13043478260869565,0.5,0.03913043478260869,0.0
P12,0.3684210526315789,0.47023809523809523,0.3214285714285714,0.47023809523809523,0.2744360902255639,-0.04587155963302769
P13,0.35714285714285715,0.4166666666666667,0.2631578947368421,0.4166666666666667,0.2255639097744361,-0.14545454545454528
P14,0.47368421052631576,0.4772727272727273,0.4722222222222222,0.4772727272727273,0.4766081871345029,-0.0439560439560438
P15,0.8,0.75,0.7619047619047619,0.75,0.7809523809523808,0.5454545454545454
P16,0.55,0.4560439560439561,0.4357366771159875,0.4560439560439561,0.5119122257053292,-0.09756097560975618
P17,0.38095238095238093,0.3214285714285714,0.3259259259259259,0.3214285714285714,0.3901234567901234,-0.3448275862068966
P18,0.45,0.510989010989011,0.44862155388471175,0.510989010989011,0.4403508771929824,0.017857142857142794
P19,0.4,0.5054945054945055,0.375,0.5054945054945055,0.3375,0.008264462809917439
P20,0.6666666666666666,0.5073529411764706,0.505050505050505,0.5073529411764706,0.6801346801346801,0.01342281879194629
P21,0.35,0.4010989010989011,0.3483709273182957,0.4010989010989011,0.3385964912280701,-0.1607142857142858
P22,0.47619047619047616,0.3333333333333333,0.3225806451612903,0.3333333333333333,0.4608294930875576,-0.3508771929824561
P23,0.5238095238095238,0.39285714285714285,0.34375,0.39285714285714285,0.4583333333333333,-0.25
P24,0.8571428571428571,0.45,0.46153846153846156,0.45,0.8791208791208792,-0.06779661016949157
P25,0.47619047619047616,0.4954545454545455,0.38726790450928383,0.4954545454545455,0.3761525830491348,-0.008733624454148492
P26,0.7272727272727273,0.6823529411764706,0.65625,0.6823529411764706,0.7414772727272727,0.31958762886597936
P27,0.14285714285714285,0.375,0.125,0.375,0.047619047619047616,-0.09883720930232576
P28,0.38095238095238093,0.2,0.27586206896551724,0.2,0.5254515599343186,-0.09638554216867457
P29,0.6956521739130435,0.7007575757575758,0.6933333333333334,0.7007575757575758,0.6921739130434783,0.39700374531835203
