subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.47619047619047616,0.4326923076923077,0.4296296296296296,0.4326923076923077,0.46843033509700177,-0.13793103448275867
P02,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P03,0.3333333333333333,0.3246753246753247,0.325,0.3246753246753247,0.3416666666666667,-0.33333333333333326
P04,0.21052631578947367,0.5588235294117647,0.21052631578947367,0.5588235294117647,0.21052631578947367,0.027303754266211677
P05,0.7777777777777778,0.7916666666666667,0.7662337662337663,0.7916666666666667,0.7835497835497836,0.5384615384615384
P06,0.05,0.5,0.047619047619047616,0.5,0.0047619047619047615,0.0
P07,0.5238095238095238,0.513157894736842,0.41666666666666663,0.513157894736842,0.6190476190476191,0.009433962264150941
P08,0.5,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.6,-0.19047619047619047
P09,0.7,0.625,0.6000000000000001,0.625,0.64,0.2857142857142857
P10,0.7894736842105263,0.7928571428571429,0.7564102564102564,0.7928571428571429,0.7989203778677463,0.5189873417721519
P11,0.2,0.5294117647058824,0.1919191919191919,0.5294117647058824,0.13535353535353534,0.018404907975459905
P12,0.5789473684210527,0.48809523809523814,0.4571428571428572,0.48809523809523814,0.524812030075188,-0.027027027027027195
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.5789473684210527,0.5,0.36666666666666664,0.5,0.4245614035087719,0.0
P15,0.7,0.6666666666666667,0.6703296703296704,0.6666666666666667,0.6901098901098901,0.34782608695652173
P16,0.8,0.7142857142857143,0.7333333333333334,0.7142857142857143,0.7733333333333334,0.49367088607594944
P17,0.5714285714285714,0.4642857142857143,0.4457478005865103,0.4642857142857143,0.5337243401759532,-0.07999999999999985
P18,0.35,0.36813186813186816,0.3483709273182957,0.36813186813186816,0.3581453634085213,-0.2264150943396226
P19,0.5,0.5824175824175823,0.4949494949494949,0.5824175824175823,0.4797979797979798,0.13043478260869568
P20,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P21,0.4,0.43956043956043955,0.4,0.43956043956043955,0.4,-0.10091743119266061
P22,0.6190476190476191,0.43333333333333335,0.38235294117647056,0.43333333333333335,0.5462184873949579,-0.16666666666666652
P23,0.6666666666666666,0.6785714285714286,0.6541176470588235,0.6785714285714286,0.6760784313725491,0.32258064516129037
P24,0.6190476190476191,0.325,0.38235294117647056,0.325,0.7282913165266106,-0.09090909090909083
P25,0.47619047619047616,0.5,0.3225806451612903,0.5,0.3072196620583717,0.0
P26,0.7272727272727273,0.47058823529411764,0.42105263157894735,0.47058823529411764,0.6507177033492823,-0.08196721311475419
P27,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P28,0.42857142857142855,0.225,0.3,0.225,0.5714285714285714,-0.09565217391304337
P29,0.6521739130434783,0.6401515151515151,0.6166666666666667,0.6401515151515151,0.6217391304347826,0.28682170542635643
