subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.2857142857142857,0.27884615384615385,0.2791762013729977,0.27884615384615385,0.2955214122262177,-0.4125560538116593
P02,0.2857142857142857,0.6052631578947368,0.2791762013729977,0.6052631578947368,0.33474991827394573,0.048338368580060465
P03,0.6666666666666666,0.5974025974025974,0.5846153846153846,0.5974025974025974,0.6256410256410256,0.21739130434782605
P04,0.15789473684210525,0.5294117647058824,0.15555555555555556,0.5294117647058824,0.12046783625730993,0.01298701298701288
P05,0.4444444444444444,0.5416666666666667,0.4375,0.5416666666666667,0.4166666666666667,0.06250000000000011
P06,0.1,0.05263157894736842,0.09090909090909091,0.05263157894736842,0.17272727272727273,-0.10429447852760765
P07,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P08,0.9,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.9,0.4444444444444444
P09,0.75,0.7083333333333333,0.7150997150997151,0.7083333333333333,0.735042735042735,0.4444444444444444
P10,0.3684210526315789,0.5071428571428571,0.3666666666666667,0.5071428571428571,0.3508771929824561,0.008695652173912993
P11,0.15,0.5,0.13043478260869565,0.5,0.03913043478260869,0.0
P12,0.47368421052631576,0.40476190476190477,0.391025641025641,0.40476190476190477,0.45006747638326583,-0.20253164556962022
P13,0.21428571428571427,0.20833333333333331,0.21025641025641026,0.20833333333333331,0.2183150183150183,-0.5714285714285714
P14,0.5789473684210527,0.5,0.36666666666666664,0.5,0.4245614035087719,0.0
P15,0.7,0.6458333333333333,0.6428571428571428,0.6458333333333333,0.6714285714285715,0.31818181818181823
P16,0.55,0.5879120879120879,0.5488721804511278,0.5879120879120879,0.5556390977443609,0.15094339622641506
P17,0.14285714285714285,0.21428571428571427,0.125,0.21428571428571427,0.08333333333333333,-0.42105263157894735
P18,0.4,0.37362637362637363,0.375,0.37362637362637363,0.4125,-0.23711340206185572
P19,0.3,0.3626373626373626,0.29292929292929293,0.3626373626373626,0.2717171717171717,-0.21739130434782616
P20,0.19047619047619047,0.40441176470588236,0.18306636155606407,0.40441176470588236,0.13490247357524243,-0.0785498489425982
P21,0.4,0.37362637362637363,0.375,0.37362637362637363,0.4125,-0.23711340206185572
P22,0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0
P23,0.6190476190476191,0.5,0.475,0.5,0.5666666666666667,0.0
P24,0.7142857142857143,0.375,0.4166666666666667,0.375,0.7936507936507937,-0.0862068965517242
P25,0.47619047619047616,0.5,0.3225806451612903,0.5,0.3072196620583717,0.0
P26,0.5,0.6058823529411765,0.4905263157894737,0.6058823529411765,0.528421052631579,0.1294964028776978
P27,0.14285714285714285,0.375,0.125,0.375,0.047619047619047616,-0.09883720930232576
P28,0.7619047619047619,0.875,0.5714285714285714,0.875,0.8299319727891156,0.2222222222222222
P29,0.7391304347826086,0.7462121212121212,0.7346153846153847,0.7462121212121212,0.7331103678929765,0.4850746268656716
