subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.7142857142857143,0.625,0.60625,0.625,0.6553571428571429,0.2921348314606742
P02,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P03,0.4444444444444444,0.44155844155844154,0.4375,0.44155844155844154,0.4513888888888889,-0.11111111111111116
P04,0.42105263157894735,0.6764705882352942,0.39420289855072466,0.6764705882352942,0.4948893974065599,0.10300429184549353
P05,0.3888888888888889,0.5,0.37142857142857144,0.5,0.3365079365079365,0.0
P06,0.1,0.5263157894736842,0.1,0.5263157894736842,0.1,0.005524861878453136
P07,0.3333333333333333,0.18421052631578946,0.25,0.18421052631578946,0.4523809523809524,-0.19512195121951215
P08,0.85,0.4722222222222222,0.4594594594594595,0.4722222222222222,0.827027027027027,-0.0714285714285714
P09,0.65,0.5625,0.4982078853046595,0.5625,0.5534050179211469,0.14634146341463405
P10,0.5789473684210527,0.7142857142857143,0.5777777777777777,0.7142857142857143,0.5883040935672514,0.28301886792452835
P11,0.15,0.5,0.13043478260869565,0.5,0.03913043478260869,0.0
P12,0.6842105263157895,0.6011904761904762,0.5928571428571429,0.6011904761904762,0.6436090225563911,0.22972972972972971
P13,0.5714285714285714,0.625,0.5333333333333333,0.625,0.5142857142857143,0.2222222222222221
P14,0.5789473684210527,0.5,0.36666666666666664,0.5,0.4245614035087719,0.0
P15,0.55,0.5208333333333333,0.52,0.5208333333333333,0.5439999999999999,0.042553191489361764
P16,0.7,0.7032967032967032,0.6875,0.7032967032967032,0.70625,0.38144329896907214
P17,0.6190476190476191,0.5,0.475,0.5,0.5666666666666667,0.0
P18,0.6,0.5274725274725275,0.5238095238095238,0.5274725274725275,0.580952380952381,0.05882352941176472
P19,0.55,0.6208791208791209,0.5488721804511278,0.6208791208791209,0.5421052631578946,0.1964285714285714
P20,0.47619047619047616,0.4852941176470588,0.4296296296296296,0.4852941176470588,0.5305114638447971,-0.017621145374449254
P21,0.5,0.48351648351648346,0.4791666666666667,0.48351648351648346,0.5104166666666667,-0.030927835051546504
P22,0.6666666666666666,0.4666666666666667,0.4,0.4666666666666667,0.5714285714285714,-0.0888888888888888
P23,0.5714285714285714,0.5714285714285714,0.5552941176470588,0.5714285714285714,0.5835294117647059,0.12903225806451613
P24,0.8571428571428571,0.45,0.46153846153846156,0.45,0.8791208791208792,-0.06779661016949157
P25,0.38095238095238093,0.39545454545454545,0.3259259259259259,0.39545454545454545,0.31675485008818344,-0.20264317180616742
P26,0.8181818181818182,0.6,0.6140350877192983,0.6,0.7671451355661882,0.2786885245901639
P27,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P28,0.47619047619047616,0.25,0.3225806451612903,0.25,0.6144393241167434,-0.09478672985782
P29,0.8260869565217391,0.8295454545454546,0.8257575757575758,0.8295454545454546,0.8254281949934124,0.6541353383458647
