subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.4230769230769231,0.34375,0.4230769230769231,0.4255952380952381,-0.1797752808988764
P02,0.9047619047619048,0.7236842105263157,0.7236842105263157,0.7236842105263157,0.9047619047619048,0.44736842105263164
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.42105263157894735,0.6764705882352942,0.39420289855072466,0.6764705882352942,0.4948893974065599,0.10300429184549353
P05,0.5,0.41666666666666663,0.4109090909090909,0.41666666666666663,0.4872727272727272,-0.17391304347826098
P06,0.65,0.8157894736842105,0.4982078853046595,0.8157894736842105,0.746594982078853,0.14634146341463405
P07,0.5238095238095238,0.2894736842105263,0.34375,0.2894736842105263,0.6220238095238095,-0.1797752808988764
P08,0.4,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.5142857142857142,-0.19999999999999996
P09,0.4,0.4791666666666667,0.34065934065934067,0.4791666666666667,0.3010989010989011,-0.0344827586206895
P10,0.47368421052631576,0.3857142857142857,0.391025641025641,0.3857142857142857,0.4973009446693658,-0.20253164556962022
P11,0.2,0.11764705882352941,0.16666666666666666,0.11764705882352941,0.2833333333333333,-0.3223140495867767
P12,0.42105263157894735,0.4226190476190476,0.4145658263305322,0.4226190476190476,0.4307828394515701,-0.14207650273224037
P13,0.7142857142857143,0.7291666666666667,0.7142857142857143,0.7291666666666667,0.7142857142857143,0.43999999999999995
P14,0.3157894736842105,0.35795454545454547,0.28405797101449276,0.35795454545454547,0.2602593440122044,-0.25380710659898487
P15,0.65,0.6041666666666667,0.6011396011396011,0.6041666666666667,0.6290598290598292,0.2222222222222222
P16,0.35,0.46703296703296704,0.30666666666666664,0.46703296703296704,0.2546666666666667,-0.04838709677419373
P17,0.42857142857142855,0.42857142857142855,0.41666666666666663,0.42857142857142855,0.44444444444444436,-0.125
P18,0.65,0.5659340659340659,0.561128526645768,0.5659340659340659,0.6203761755485893,0.14634146341463405
P19,0.35,0.4340659340659341,0.3350383631713555,0.4340659340659341,0.30511508951406646,-0.10169491525423724
P20,0.6190476190476191,0.5735294117647058,0.5333333333333333,0.5735294117647058,0.6571428571428571,0.1063829787234043
P21,0.8,0.7802197802197802,0.7802197802197802,0.7802197802197802,0.8,0.5604395604395604
P22,0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0
P23,0.7619047619047619,0.75,0.7407407407407407,0.75,0.7654320987654321,0.48275862068965514
P24,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P25,0.14285714285714285,0.13636363636363635,0.125,0.13636363636363635,0.13095238095238096,-0.7339449541284402
P26,0.5454545454545454,0.5647058823529412,0.5089285714285714,0.5647058823529412,0.5819805194805195,0.09090909090909094
P27,0.5238095238095238,0.7058823529411764,0.5138888888888888,0.7058823529411764,0.556878306878307,0.21052631578947378
P28,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P29,0.6086956521739131,0.6136363636363636,0.6057142857142856,0.6136363636363636,0.604223602484472,0.2247191011235955
