,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.4061610115425313,0.2449456646301194,0.5,0.26645949413563885,0.13018045103628573,0.5,0.2794030348137849,0.0,0.41379310344827586,0.5,0.2926829268292683,0.0,87.0
RandomForest,0.5177258203889625,0.1748183788402722,0.5333901497894773,0.42126881014146006,0.14397213128723108,0.5333901497894773,0.4865054585078305,0.055916952872710174,0.5517241379310345,0.5032679738562091,0.4815889992360581,0.0070237050043897575,87.0
LogisticRegression,0.5428985495859953,0.166222493937171,0.5550997158008475,0.46648663836630627,0.14027071146509532,0.5550997158008475,0.5433759896439057,0.0713309631510642,0.5632183908045977,0.553921568627451,0.5532432432432433,0.10696920583468394,87.0
XGBoost,0.4848440384501301,0.18048396442113734,0.5068931990278206,0.40642936677527464,0.1527852052126237,0.5068931990278206,0.46931329225659313,0.0023063906511294713,0.4827586206896552,0.45669934640522875,0.4538987306458362,-0.0884070058381985,87.0
conformer_fusion,0.5339999344142009,0.19980324422193438,0.5314513327911428,0.4442617920226629,0.16317687716353024,0.5314513327911428,0.5153913478210597,0.07507716291338555,0.5287356321839081,0.5122549019607843,0.5122384794202106,0.024610336341263306,87.0
tiny_tcn_fusion,0.4905458241487595,0.23293758606599627,0.48559862272763954,0.3929393079444079,0.19331891341855392,0.48559862272763954,0.4532777194520212,0.028019432277882644,0.4827586206896552,0.45669934640522875,0.4538987306458362,-0.0884070058381985,87.0
bilstm_fusion,0.5103735669189784,0.20711257968462543,0.5127057218548624,0.41797517043822713,0.18329099755079883,0.5127057218548624,0.4840907725495965,0.05030399466951539,0.5287356321839081,0.5163398692810457,0.5162077851620779,0.03254678600488203,87.0
cnn1d_fusion,0.4421395192128246,0.2351164981622146,0.48604976050129245,0.37625759614596055,0.19204904178969578,0.48604976050129245,0.4153175809017431,-0.004219163821829841,0.4827586206896552,0.4607843137254902,0.45962732919254656,-0.07940446650124078,87.0
multistream_fusion,0.5428850225149444,0.19526515598531352,0.503750363072985,0.4473029283231448,0.16242065222270427,0.503750363072985,0.538863971334766,0.014013373040004213,0.5632183908045977,0.5457516339869282,0.5458791208791208,0.09225700164744643,87.0
DANN_Conformer,0.4636483592334615,0.21605780087013882,0.48037957395675984,0.37670931048640854,0.17409838327868993,0.48037957395675984,0.4322752675227253,0.003407366353565736,0.47126436781609193,0.45915032679738566,0.4591891891891892,-0.08103727714748787,87.0
TSTCC,0.5043253208210202,0.23404580149525298,0.5101626360780839,0.4313493080775699,0.21619534024221077,0.5101626360780839,0.4961017483703414,0.044152419713419835,0.4942528735632184,0.482843137254902,0.48270270270270277,-0.03403565640194506,87.0
Ensemble,0.5399313558076283,0.22420010473671367,0.5340023686679499,0.4501702607341502,0.19730033916985587,0.5340023686679499,0.5161256531378078,0.08594285762259815,0.5402298850574713,0.5098039215686274,0.5056818181818181,0.020270270270270396,87.0
