subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.4230769230769231,0.34375,0.4230769230769231,0.4255952380952381,-0.1797752808988764
P02,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P03,0.5,0.461038961038961,0.4581939799331104,0.461038961038961,0.49163879598662213,-0.07999999999999985
P04,0.21052631578947367,0.5588235294117647,0.21052631578947367,0.5588235294117647,0.21052631578947367,0.027303754266211677
P05,0.3333333333333333,0.45833333333333337,0.2987012987012987,0.45833333333333337,0.24675324675324672,-0.05882352941176472
P06,0.0,0.0,0.0,0.0,0.0,-0.10497237569060758
P07,0.2857142857142857,0.15789473684210525,0.2222222222222222,0.15789473684210525,0.40211640211640215,-0.19771863117870714
P08,0.75,0.6388888888888888,0.5670995670995671,0.6388888888888888,0.7922077922077922,0.16666666666666663
P09,0.8,0.7708333333333333,0.7802197802197802,0.7708333333333333,0.7934065934065935,0.5652173913043478
P10,0.2631578947368421,0.5,0.20833333333333334,0.5,0.10964912280701755,0.0
P11,0.2,0.5294117647058824,0.1919191919191919,0.5294117647058824,0.13535353535353534,0.018404907975459905
P12,0.5789473684210527,0.48809523809523814,0.4571428571428572,0.48809523809523814,0.524812030075188,-0.027027027027027195
P13,0.42857142857142855,0.4583333333333333,0.41666666666666663,0.4583333333333333,0.4047619047619047,-0.07692307692307687
P14,0.5789473684210527,0.5,0.36666666666666664,0.5,0.4245614035087719,0.0
P15,0.7,0.6666666666666667,0.6703296703296704,0.6666666666666667,0.6901098901098901,0.34782608695652173
P16,0.95,0.9615384615384616,0.9466666666666667,0.9615384615384616,0.9506666666666668,0.8936170212765957
P17,0.47619047619047616,0.42857142857142855,0.4296296296296296,0.42857142857142855,0.4839506172839506,-0.13793103448275867
P18,0.4,0.5384615384615384,0.34065934065934067,0.5384615384615384,0.2813186813186813,0.055118110236220375
P19,0.45,0.510989010989011,0.44862155388471175,0.510989010989011,0.4403508771929824,0.017857142857142794
P20,0.7619047619047619,0.47058823529411764,0.43243243243243246,0.47058823529411764,0.7001287001287002,-0.08247422680412386
P21,0.5,0.48351648351648346,0.4791666666666667,0.48351648351648346,0.5104166666666667,-0.030927835051546504
P22,0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0
P23,0.6190476190476191,0.4642857142857143,0.38235294117647056,0.4642857142857143,0.5098039215686274,-0.09090909090909083
P24,0.8571428571428571,0.45,0.46153846153846156,0.45,0.8791208791208792,-0.06779661016949157
P25,0.47619047619047616,0.49090909090909096,0.4296296296296296,0.49090909090909096,0.4218694885361552,-0.017621145374449254
P26,0.7272727272727273,0.47058823529411764,0.42105263157894735,0.47058823529411764,0.6507177033492823,-0.08196721311475419
P27,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P28,0.3333333333333333,0.175,0.25,0.175,0.47619047619047616,-0.09701492537313428
P29,0.5217391304347826,0.5265151515151515,0.5180952380952382,0.5265151515151515,0.5162732919254658,0.05243445692883886
