subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.3333333333333333,0.22916666666666666,0.3333333333333333,0.3601190476190476,0.0
P02,0.0,0.0,0.0,0.0,0.0,0.0
P03,0.0,0.0,0.0,0.0,0.0,0.0
P04,0.0,0.0,0.0,0.0,0.0,0.0
P05,0.0,0.0,0.0,0.0,0.0,0.0
P06,0.1,0.3333333333333333,0.06060606060606061,0.3333333333333333,0.01818181818181818,0.0
P07,0.0,0.0,0.0,0.0,0.0,0.0
P08,0.05,0.3333333333333333,0.031746031746031744,0.3333333333333333,0.0047619047619047615,0.0
P09,0.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,0.0
P12,0.15789473684210525,0.25,0.06818181818181818,0.25,0.043062200956937795,0.0
P13,0.0,0.0,0.0,0.0,0.0,0.0
P14,0.0,0.0,0.0,0.0,0.0,0.0
P15,0.0,0.0,0.0,0.0,0.0,0.0
P16,0.0,0.0,0.0,0.0,0.0,0.0
P17,0.0,0.0,0.0,0.0,0.0,0.0
P18,0.1,0.3333333333333333,0.06060606060606061,0.3333333333333333,0.01818181818181818,0.0
P19,0.1,0.25,0.045454545454545456,0.25,0.01818181818181818,0.0
P20,0.14285714285714285,0.25,0.0625,0.25,0.03571428571428571,0.0
P21,0.0,0.0,0.0,0.0,0.0,0.0
P22,0.0,0.0,0.0,0.0,0.0,0.0
P23,0.3333333333333333,0.25,0.125,0.25,0.16666666666666666,0.0
P24,0.0,0.0,0.0,0.0,0.0,0.0
P25,0.0,0.0,0.0,0.0,0.0,0.0
P26,0.047619047619047616,0.25,0.022727272727272728,0.25,0.004329004329004329,0.0
P27,0.045454545454545456,0.3333333333333333,0.028985507246376812,0.3333333333333333,0.003952569169960474,0.0
P28,0.0,0.0,0.0,0.0,0.0,0.0
P29,0.0,0.0,0.0,0.0,0.0,0.0
P30,0.0,0.0,0.0,0.0,0.0,0.0
P31,0.0,0.0,0.0,0.0,0.0,0.0
