subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.022727272727272728,0.125,0.008658008658008658,-0.04738154613466339
P02,0.2857142857142857,0.15789473684210525,0.11538461538461539,0.07894736842105263,0.4175824175824176,-0.07876712328767144
P03,0.2222222222222222,0.2597402597402597,0.21428571428571427,0.17316017316017315,0.28174603174603174,0.015625
P04,0.10526315789473684,0.27941176470588236,0.08831908831908832,0.18627450980392157,0.11560953666216825,-0.0031055900621119736
P05,0.3888888888888889,0.3383838383838384,0.20850202429149797,0.2537878787878788,0.36347278452541615,0.11607142857142871
P06,0.15,0.37254901960784315,0.1037037037037037,0.37254901960784315,0.17555555555555558,-0.024096385542168752
P07,0.3333333333333333,0.18421052631578946,0.25,0.18421052631578946,0.4523809523809524,-0.19512195121951215
P08,0.8,0.46078431372549017,0.32727272727272727,0.34558823529411764,0.8127272727272727,0.34426229508196726
P09,0.25,0.22916666666666666,0.2037037037037037,0.15277777777777776,0.3333333333333333,-0.013513513513513375
P10,0.5263157894736842,0.6142857142857143,0.35714285714285715,0.40952380952380957,0.5526315789473685,0.1778846153846153
P11,0.2,0.5294117647058824,0.1111111111111111,0.2647058823529412,0.14444444444444443,0.053254437869822424
P12,0.42105263157894735,0.2,0.15384615384615385,0.2,0.32388663967611336,-0.10582010582010604
P13,0.42857142857142855,0.5,0.21052631578947367,0.3333333333333333,0.2706766917293233,0.05084745762711862
P14,0.3684210526315789,0.3181818181818182,0.1794871794871795,0.21212121212121213,0.31174089068825905,-0.16326530612244894
P15,0.55,0.3055555555555555,0.2528735632183908,0.3055555555555555,0.45517241379310336,0.021739130434782483
P16,0.35,0.2692307692307692,0.2028985507246377,0.1794871794871795,0.3956521739130435,0.03703703703703709
P17,0.7142857142857143,0.45054945054945056,0.4666666666666666,0.45054945054945056,0.6952380952380953,0.36363636363636365
P18,0.4,0.29437229437229434,0.26794258373205737,0.22077922077922077,0.4803827751196172,0.15492957746478875
P19,0.3,0.16363636363636364,0.14715719063545152,0.16363636363636364,0.27759197324414714,-0.22807017543859653
P20,0.6666666666666666,0.35714285714285715,0.29301075268817206,0.35714285714285715,0.5908858166922683,0.24615384615384606
P21,0.15,0.13675213675213674,0.10175438596491228,0.13675213675213674,0.12842105263157894,-0.4285714285714286
P22,0.19047619047619047,0.1,0.1111111111111111,0.06666666666666667,0.31746031746031744,0.011080332409972304
P23,0.19047619047619047,0.14375,0.12152777777777778,0.14375,0.1693121693121693,-0.14423076923076916
P24,0.5238095238095238,0.4047619047619048,0.31321839080459773,0.4047619047619048,0.4835796387520525,0.04109589041095896
P25,0.42857142857142855,0.225,0.19999999999999998,0.15,0.5714285714285714,-0.045643153526971014
P26,0.38095238095238093,0.23015873015873017,0.19,0.23015873015873017,0.30666666666666675,-0.007380073800737907
P27,0.13636363636363635,0.42083333333333334,0.14148841354723707,0.42083333333333334,0.13256562955760817,0.011820330969267157
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.7727272727272727,0.7727272727272727,0.4358974358974359,0.38636363636363635,0.8717948717948718,0.0
P30,0.8095238095238095,0.9,0.4296296296296296,0.6,0.8656084656084656,0.28205128205128205
P31,0.5652173913043478,0.4090909090909091,0.38888888888888884,0.4090909090909091,0.536231884057971,0.19580419580419584
