subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.3333333333333333,0.057971014492753624,0.3333333333333333,0.016563146997929608,0.0
P02,0.7142857142857143,0.39473684210526316,0.29411764705882354,0.2631578947368421,0.7983193277310925,0.14864864864864857
P03,0.5,0.5909090909090909,0.3247863247863248,0.393939393939394,0.4472934472934473,0.20588235294117652
P04,0.631578947368421,0.7941176470588236,0.3802469135802469,0.5294117647058824,0.7048732943469785,0.2400000000000001
P05,0.2777777777777778,0.2777777777777778,0.14492753623188406,0.2777777777777778,0.14492753623188406,-0.1090047393364928
P06,0.05,0.3333333333333333,0.031746031746031744,0.3333333333333333,0.0047619047619047615,0.0
P07,0.23809523809523808,0.13157894736842105,0.19230769230769232,0.13157894736842105,0.347985347985348,-0.20000000000000018
P08,0.8,0.3137254901960784,0.2222222222222222,0.23529411764705882,0.7555555555555555,-0.038961038961039085
P09,0.75,0.7083333333333333,0.4871794871794872,0.47222222222222215,0.7538461538461538,0.47916666666666663
P10,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.6785714285714286,0.5263157894736842,0.2262443438914027
P11,0.35,0.6176470588235294,0.23809523809523805,0.411764705882353,0.3738095238095238,0.09407665505226481
P12,0.47368421052631576,0.2625,0.22391304347826085,0.2625,0.4082379862700229,0.08212560386473433
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.42105263157894735,0.36363636363636365,0.2962962962962963,0.36363636363636365,0.34307992202729043,-0.29813664596273304
P15,0.55,0.3055555555555555,0.2528735632183908,0.3055555555555555,0.45517241379310336,0.021739130434782483
P16,0.5,0.38461538461538464,0.25641025641025644,0.25641025641025644,0.5,0.1341991341991342
P17,0.42857142857142855,0.2747252747252747,0.26837606837606837,0.2747252747252747,0.4222222222222222,-0.16666666666666652
P18,0.55,0.6406926406926406,0.6387959866220736,0.6406926406926406,0.5424749163879599,0.18918918918918914
P19,0.3,0.24545454545454548,0.1625,0.24545454545454548,0.2375,-0.03703703703703698
P20,0.2857142857142857,0.2142857142857143,0.15029761904761904,0.2142857142857143,0.32936507936507936,0.0
P21,0.45,0.2606837606837607,0.2606837606837607,0.2606837606837607,0.45,-0.13402061855670122
P22,0.047619047619047616,0.025,0.031746031746031744,0.016666666666666666,0.09070294784580499,0.002375296912114022
P23,0.19047619047619047,0.125,0.09090909090909091,0.125,0.13852813852813853,-0.2142857142857142
P24,0.7619047619047619,0.6666666666666666,0.5583333333333333,0.6666666666666666,0.6595238095238095,0.42622950819672134
P25,0.9047619047619048,0.475,0.31666666666666665,0.31666666666666665,0.9047619047619048,-0.024390243902439046
P26,0.2857142857142857,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.19047619047619047,-0.2209302325581397
P27,0.09090909090909091,0.041666666666666664,0.05,0.03125,0.14545454545454548,-0.1796246648793567
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.7727272727272727,0.7727272727272727,0.4358974358974359,0.38636363636363635,0.8717948717948718,0.0
P30,0.7619047619047619,0.4,0.43243243243243246,0.4,0.8236808236808237,-0.08247422680412386
P31,0.5652173913043478,0.39999999999999997,0.33912324234904884,0.39999999999999997,0.47319020390549144,0.17562724014336917
