subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.3333333333333333,0.057971014492753624,0.3333333333333333,0.016563146997929608,0.0
P02,0.047619047619047616,0.02631578947368421,0.025,0.013157894736842105,0.09047619047619049,-0.009615384615384581
P03,0.05555555555555555,0.07142857142857142,0.041666666666666664,0.03571428571428571,0.06481481481481481,-0.0588235294117645
P04,0.7368421052631579,0.4117647058823529,0.2916666666666667,0.2745098039215686,0.7828947368421053,0.050000000000000044
P05,0.7222222222222222,0.5202020202020202,0.5103785103785103,0.5202020202020202,0.722018722018722,0.47368421052631593
P06,0.1,0.35294117647058826,0.07017543859649122,0.35294117647058826,0.09473684210526315,-0.0344827586206895
P07,0.5238095238095238,0.2894736842105263,0.171875,0.14473684210526316,0.6220238095238095,-0.15384615384615374
P08,0.6,0.23529411764705885,0.2,0.17647058823529413,0.68,0.09604519774011278
P09,0.65,0.5625,0.34074074074074073,0.375,0.568888888888889,0.20454545454545459
P10,0.42105263157894735,0.5428571428571429,0.2884990253411306,0.36190476190476195,0.42720837180670973,0.0752212389380531
P11,0.5,0.43137254901960786,0.27777777777777773,0.28758169934640526,0.5916666666666666,0.014778325123152691
P12,0.47368421052631576,0.225,0.1875,0.225,0.39473684210526316,0.09523809523809512
P13,0.07142857142857142,0.08333333333333333,0.07407407407407407,0.05555555555555555,0.09523809523809523,-0.022471910112359605
P14,0.5789473684210527,0.6193181818181819,0.5681818181818181,0.6193181818181819,0.5574162679425837,0.21649484536082464
P15,0.6,0.4444444444444445,0.4532627865961199,0.4444444444444445,0.5682539682539682,0.19999999999999996
P16,0.25,0.19230769230769232,0.15151515151515152,0.12820512820512822,0.29545454545454547,-0.060070671378091856
P17,0.3333333333333333,0.24542124542124544,0.19090909090909092,0.18406593406593408,0.35844155844155845,-0.10526315789473673
P18,0.55,0.6060606060606061,0.3666666666666667,0.4545454545454546,0.44666666666666666,0.17431192660550443
P19,0.45,0.36136363636363633,0.3732919254658385,0.36136363636363633,0.4698136645962732,0.10569105691056913
P20,0.19047619047619047,0.2857142857142857,0.11437908496732026,0.2857142857142857,0.17802676626206038,0.011080332409972304
P21,0.5,0.25641025641025644,0.24691358024691357,0.25641025641025644,0.4814814814814815,-0.015228426395939021
P22,0.2857142857142857,0.15,0.15384615384615385,0.09999999999999999,0.4395604395604396,0.01869158878504673
P23,0.09523809523809523,0.08125,0.08055555555555555,0.08125,0.10846560846560846,-0.23529411764705888
P24,0.38095238095238093,0.4761904761904762,0.29304029304029305,0.4761904761904762,0.41025641025641024,0.10784313725490191
P25,0.8571428571428571,0.45,0.3076923076923077,0.3,0.8791208791208792,-0.050000000000000044
P26,0.09523809523809523,0.07142857142857142,0.05555555555555555,0.07142857142857142,0.07407407407407407,-0.282958199356913
P27,0.4090909090909091,0.1875,0.16666666666666666,0.140625,0.4848484848484848,0.023890784982935176
P28,0.23809523809523808,0.5294117647058824,0.15297906602254427,0.35294117647058826,0.15619967793880837,0.0344827586206895
P29,0.2727272727272727,0.2727272727272727,0.21428571428571427,0.13636363636363635,0.4285714285714286,0.0
P30,0.6666666666666666,0.825,0.505050505050505,0.825,0.7609427609427609,0.1502890173410404
P31,0.4782608695652174,0.3606060606060606,0.29578544061302686,0.3606060606060606,0.3974012993503248,0.06440677966101704
