subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.3333333333333333,0.057971014492753624,0.3333333333333333,0.016563146997929608,0.0
P02,0.9047619047619048,0.5,0.475,0.5,0.8595238095238096,0.0
P03,0.5555555555555556,0.6103896103896104,0.55,0.6103896103896104,0.5388888888888889,0.1910112359550562
P04,0.8947368421052632,0.5,0.4722222222222222,0.5,0.8450292397660818,0.0
P05,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
P06,0.5,0.5098039215686274,0.2863247863247863,0.5098039215686274,0.5967948717948717,0.15254237288135586
P07,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P08,0.9,0.5,0.5370370370370371,0.5,0.8694444444444442,0.4666666666666667
P09,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
P10,0.2631578947368421,0.4357142857142857,0.24431818181818182,0.4357142857142857,0.18779904306220097,-0.07258064516129026
P11,0.6,0.6274509803921569,0.5238095238095238,0.6274509803921569,0.6571428571428571,0.13978494623655924
P12,0.21052631578947367,0.25,0.08695652173913043,0.25,0.07322654462242563,0.0
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.5789473684210527,0.5,0.36666666666666664,0.5,0.4245614035087719,0.0
P15,0.55,0.36111111111111116,0.3251231527093596,0.36111111111111116,0.470935960591133,0.021739130434782483
P16,0.65,0.5,0.2708333333333333,0.3333333333333333,0.528125,0.08496732026143794
P17,0.38095238095238093,0.27106227106227104,0.25677830940988833,0.27106227106227104,0.38664843928001824,-0.13749999999999996
P18,0.45,0.3766233766233766,0.3072463768115942,0.3766233766233766,0.40260869565217394,0.09836065573770503
P19,0.25,0.25,0.11363636363636363,0.25,0.11363636363636362,-0.06382978723404253
P20,0.5714285714285714,0.21428571428571427,0.1875,0.21428571428571427,0.5,-0.032786885245901454
P21,0.65,0.3632478632478633,0.34139784946236557,0.3632478632478633,0.5782258064516129,0.09090909090909105
P22,0.0,0.0,0.0,0.0,0.0,0.0
P23,0.19047619047619047,0.14375,0.10989010989010989,0.14375,0.1454735740450026,-0.202020202020202
P24,0.6666666666666666,0.3333333333333333,0.2828282828282828,0.3333333333333333,0.5656565656565656,0.14035087719298245
P25,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P26,0.42857142857142855,0.25,0.15,0.25,0.2571428571428571,0.0
P27,0.8181818181818182,0.5583333333333333,0.5232974910394265,0.5583333333333333,0.8084066471163246,0.5789473684210527
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.4090909090909091,0.4090909090909091,0.2903225806451613,0.20454545454545456,0.5806451612903226,0.0
P30,0.7142857142857143,0.375,0.4166666666666667,0.375,0.7936507936507937,-0.0862068965517242
P31,0.43478260869565216,0.3242424242424242,0.29192982456140354,0.3242424242424242,0.39450800915331813,-0.027491408934708028
