subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.023809523809523808,0.125,0.009070294784580499,-0.042183622828784184
P02,0.8095238095238095,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.8095238095238095,-0.10526315789473673
P03,0.4444444444444444,0.4675324675324675,0.4444444444444444,0.4675324675324675,0.4444444444444444,-0.05882352941176472
P04,0.7894736842105263,0.6617647058823529,0.6041666666666666,0.6617647058823529,0.8179824561403508,0.22448979591836737
P05,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
P06,0.4,0.1568627450980392,0.16,0.11764705882352941,0.544,0.05138339920948609
P07,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P08,0.55,0.21568627450980393,0.23655913978494625,0.21568627450980393,0.603225806451613,-0.20000000000000018
P09,0.4,0.4791666666666667,0.23076923076923075,0.3194444444444445,0.30769230769230765,0.01639344262295095
P10,0.5263157894736842,0.4857142857142857,0.47384615384615386,0.4857142857142857,0.5525506072874494,-0.0239520958083832
P11,0.45,0.5392156862745098,0.35333333333333333,0.35947712418300654,0.551,0.11646586345381527
P12,0.3684210526315789,0.2875,0.21666666666666667,0.2875,0.3508771929824561,0.10588235294117643
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.47368421052631576,0.4090909090909091,0.32142857142857145,0.4090909090909091,0.37218045112781956,-0.20253164556962022
P15,0.55,0.3055555555555555,0.2528735632183908,0.3055555555555555,0.45517241379310336,0.021739130434782483
P16,0.5,0.38461538461538464,0.2380952380952381,0.25641025641025644,0.4642857142857143,0.024390243902439046
P17,0.38095238095238093,0.2271062271062271,0.22045855379188714,0.2271062271062271,0.36860670194003525,-0.2999999999999998
P18,0.45,0.3593073593073593,0.31559290382819793,0.3593073593073593,0.42549019607843136,0.06779661016949146
P19,0.4,0.5227272727272727,0.3161027568922306,0.5227272727272727,0.28038847117794485,0.22330097087378642
P20,0.2857142857142857,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.38095238095238093,0.0
P21,0.5,0.3162393162393162,0.3076923076923077,0.3162393162393162,0.49230769230769234,-0.058201058201058364
P22,0.047619047619047616,0.025,0.031746031746031744,0.016666666666666666,0.09070294784580499,0.002375296912114022
P23,0.2857142857142857,0.28125,0.1575091575091575,0.28125,0.17198674341531484,0.01869158878504662
P24,0.6190476190476191,0.30952380952380953,0.2626262626262626,0.30952380952380953,0.5252525252525252,0.01754385964912275
P25,0.8095238095238095,0.425,0.2982456140350877,0.2833333333333333,0.8521303258145364,-0.03703703703703698
P26,0.3333333333333333,0.20238095238095238,0.16083916083916083,0.20238095238095238,0.25840825840825843,-0.13076923076923075
P27,0.09090909090909091,0.08750000000000001,0.05718954248366013,0.065625,0.10754604872251931,-0.12244897959183665
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.5909090909090909,0.5909090909090909,0.37142857142857144,0.29545454545454547,0.7428571428571428,0.0
P30,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.0808823529411764
P31,0.4782608695652174,0.34242424242424246,0.3162393162393162,0.34242424242424246,0.43924191750278707,0.028169014084507116
