subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.375,0.13468013468013468,0.375,0.10197210197210198,0.038167938931297773
P02,0.0,0.0,0.0,0.0,0.0,-0.027972027972027913
P03,0.05555555555555555,0.07142857142857142,0.08333333333333333,0.047619047619047616,0.09722222222222222,-0.07746478873239426
P04,0.2631578947368421,0.5882352941176471,0.175,0.29411764705882354,0.31052631578947365,0.09523809523809534
P05,0.5555555555555556,0.4292929292929293,0.39351851851851855,0.4292929292929293,0.5478395061728395,0.22580645161290314
P06,0.0,0.0,0.0,0.0,0.0,-0.098901098901099
P07,0.2857142857142857,0.15789473684210525,0.15384615384615385,0.10526315789473684,0.4175824175824176,-0.09375
P08,0.85,0.6470588235294118,0.4803921568627451,0.6470588235294118,0.825,0.4444444444444444
P09,0.1,0.08333333333333333,0.07017543859649122,0.05555555555555555,0.12631578947368421,-0.16883116883116878
P10,0.7894736842105263,0.7285714285714285,0.5357142857142857,0.4857142857142857,0.8289473684210527,0.4933333333333334
P11,0.05,0.16666666666666666,0.045454545454545456,0.08333333333333333,0.02727272727272727,-0.058495821727019504
P12,0.42105263157894735,0.2,0.15384615384615385,0.2,0.32388663967611336,-0.10582010582010604
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.21052631578947367,0.18181818181818182,0.11764705882352941,0.09090909090909091,0.27244582043343657,0.03389830508474567
P15,0.5,0.2777777777777778,0.25641025641025644,0.2777777777777778,0.46153846153846156,0.038461538461538325
P16,0.15,0.11538461538461539,0.1111111111111111,0.07692307692307693,0.21666666666666665,-0.014925373134328401
P17,0.19047619047619047,0.10256410256410257,0.08,0.07692307692307693,0.1980952380952381,-0.4691358024691359
P18,0.3,0.4545454545454546,0.21764705882352942,0.34090909090909094,0.2988235294117647,0.11949685534591192
P19,0.3,0.2727272727272727,0.14583333333333334,0.2727272727272727,0.19583333333333336,0.04761904761904756
P20,0.42857142857142855,0.26785714285714285,0.22527472527472528,0.26785714285714285,0.4374672946101518,0.0117647058823529
P21,0.4,0.2948717948717949,0.2763772175536881,0.2948717948717949,0.41540616246498596,-0.048034934497816595
P22,0.0,0.0,0.0,0.0,0.0,0.0
P23,0.38095238095238093,0.46875,0.27083333333333337,0.46875,0.24603174603174605,0.09000000000000008
P24,0.6666666666666666,0.3761904761904762,0.28663793103448276,0.28214285714285714,0.6572249589490969,0.3130841121495327
P25,0.6190476190476191,0.325,0.2549019607843137,0.21666666666666667,0.7282913165266106,-0.04347826086956519
P26,0.23809523809523808,0.1736111111111111,0.17028985507246375,0.1736111111111111,0.21256038647342992,-0.23529411764705888
P27,0.09090909090909091,0.3541666666666667,0.06878306878306878,0.3541666666666667,0.08513708513708514,-0.0185185185185186
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.9090909090909091,0.9090909090909091,0.47619047619047616,0.45454545454545453,0.9523809523809524,0.0
P30,0.3333333333333333,0.175,0.16666666666666666,0.11666666666666665,0.47619047619047616,-0.08487084870848705
P31,0.391304347826087,0.5454545454545454,0.3128205128205128,0.5454545454545454,0.29230769230769227,0.07471264367816088
