subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.375,0.10101010101010101,0.28125,0.09042809042809043,0.018181818181818077
P02,0.38095238095238093,0.21052631578947367,0.14814814814814814,0.10526315789473684,0.5361552028218695,0.028469750889679624
P03,0.3333333333333333,0.37662337662337664,0.325,0.37662337662337664,0.30833333333333335,-0.21348314606741559
P04,0.21052631578947367,0.5588235294117647,0.15263157894736842,0.27941176470588236,0.2304709141274238,0.08360128617363338
P05,0.3333333333333333,0.3080808080808081,0.1607142857142857,0.23106060606060608,0.2605820105820105,0.027027027027027084
P06,0.0,0.0,0.0,0.0,0.0,-0.098901098901099
P07,0.14285714285714285,0.5263157894736842,0.08055555555555555,0.2631578947368421,0.11164021164021165,0.03076923076923066
P08,0.85,0.3333333333333333,0.3148148148148148,0.3333333333333333,0.8027777777777777,0.21052631578947367
P09,0.4,0.39583333333333337,0.34848484848484845,0.2638888888888889,0.5181818181818182,0.1428571428571429
P10,0.47368421052631576,0.6428571428571428,0.4722222222222222,0.6428571428571428,0.45906432748538006,0.17391304347826086
P11,0.2,0.11764705882352941,0.11594202898550725,0.0784313725490196,0.29565217391304344,-0.2355212355212355
P12,0.3684210526315789,0.175,0.14,0.175,0.2947368421052632,-0.1692307692307693
P13,0.42857142857142855,0.5,0.3076923076923077,0.3333333333333333,0.3956043956043956,0.2727272727272727
P14,0.3157894736842105,0.2727272727272727,0.24,0.2727272727272727,0.27789473684210525,-0.47904191616766467
P15,0.5,0.2777777777777778,0.24691358024691357,0.2777777777777778,0.4444444444444445,0.0
P16,0.45,0.34615384615384615,0.24,0.23076923076923075,0.46799999999999997,0.09836065573770492
P17,0.42857142857142855,0.25274725274725274,0.1936026936026936,0.18956043956043955,0.42744909411576076,-0.09565217391304337
P18,0.2,0.15584415584415584,0.1534090909090909,0.11688311688311688,0.26477272727272727,-0.009463722397476282
P19,0.25,0.3727272727272727,0.20512820512820515,0.3727272727272727,0.19128205128205128,0.038461538461538436
P20,0.47619047619047616,0.5,0.3958333333333333,0.5,0.4841269841269842,0.17204301075268813
P21,0.4,0.235042735042735,0.23076923076923075,0.235042735042735,0.3961538461538462,-0.26984126984127
P22,0.19047619047619047,0.1,0.08333333333333333,0.05,0.31746031746031744,0.011080332409972304
P23,0.38095238095238093,0.25,0.14285714285714285,0.25,0.21768707482993196,0.010869565217391242
P24,0.7142857142857143,0.4857142857142857,0.4675324675324675,0.4857142857142857,0.7012987012987013,0.4084507042253521
P25,0.7619047619047619,0.4,0.2882882882882883,0.26666666666666666,0.8236808236808237,-0.03960396039603964
P26,0.38095238095238093,0.23015873015873017,0.18006993006993005,0.23015873015873017,0.29137529137529133,-0.050000000000000044
P27,0.36363636363636365,0.2125,0.28190476190476194,0.2125,0.47220779220779224,0.03448275862068961
P28,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P29,0.5909090909090909,0.5909090909090909,0.37142857142857144,0.29545454545454547,0.7428571428571428,0.0
P30,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.07299270072992692
P31,0.391304347826087,0.5454545454545454,0.3333333333333333,0.5454545454545454,0.2826086956521739,0.0242424242424244
