subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.375,0.13468013468013468,0.375,0.10197210197210198,0.038167938931297773
P02,0.2857142857142857,0.15789473684210525,0.14814814814814814,0.10526315789473684,0.40211640211640215,-0.18867924528301883
P03,0.3333333333333333,0.37662337662337664,0.2619047619047619,0.2510822510822511,0.369047619047619,0.052631578947368474
P04,0.10526315789473684,0.5,0.0784313725490196,0.3333333333333333,0.024767801857585137,0.02416918429003012
P05,0.4444444444444444,0.3686868686868687,0.3,0.3686868686868687,0.41111111111111115,0.08163265306122447
P06,0.0,0.0,0.0,0.0,0.0,-0.09589041095890405
P07,0.23809523809523808,0.5789473684210527,0.16934046345811052,0.3859649122807018,0.26916221033868093,0.05084745762711862
P08,0.75,0.29411764705882354,0.21428571428571427,0.22058823529411764,0.7285714285714285,-0.08695652173913038
P09,0.3,0.25,0.16666666666666666,0.16666666666666666,0.3,-0.12903225806451624
P10,0.42105263157894735,0.41428571428571426,0.24285714285714285,0.20714285714285713,0.5263157894736842,0.12184873949579833
P11,0.3,0.3137254901960784,0.17119565217391303,0.1568627450980392,0.4070652173913043,0.010600706713780994
P12,0.42105263157894735,0.2,0.16666666666666666,0.2,0.3508771929824561,-0.034653465346534684
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.3157894736842105,0.2897727272727273,0.2328042328042328,0.1931818181818182,0.3692564745196324,-0.016460905349794386
P15,0.65,0.4166666666666667,0.37777777777777777,0.4166666666666667,0.5466666666666667,0.20454545454545459
P16,0.4,0.3076923076923077,0.2222222222222222,0.20512820512820515,0.4333333333333333,0.06614785992217898
P17,0.38095238095238093,0.27106227106227104,0.28484848484848485,0.27106227106227104,0.4147186147186147,-0.03409090909090895
P18,0.6,0.670995670995671,0.5608465608465608,0.670995670995671,0.5793650793650793,0.3133047210300428
P19,0.4,0.36590909090909096,0.3308823529411765,0.36590909090909096,0.3970588235294118,0.11111111111111116
P20,0.2857142857142857,0.3214285714285714,0.16374269005847952,0.3214285714285714,0.31634642160957943,0.10256410256410264
P21,0.55,0.3717948717948718,0.35619047619047617,0.3717948717948718,0.5445714285714286,0.08163265306122458
P22,0.09523809523809523,0.05,0.06060606060606061,0.03333333333333333,0.17316017316017318,0.0024999999999999467
P23,0.2857142857142857,0.1875,0.11538461538461539,0.1875,0.17582417582417584,-0.1170212765957448
P24,0.42857142857142855,0.2142857142857143,0.2222222222222222,0.2142857142857143,0.44444444444444436,-0.09090909090909083
P25,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.042553191489361764
P26,0.42857142857142855,0.3194444444444444,0.30128205128205127,0.3194444444444444,0.35775335775335776,0.052631578947368474
P27,0.13636363636363635,0.375,0.10582010582010581,0.375,0.16594516594516595,0.03240740740740722
P28,0.23809523809523808,0.5294117647058824,0.2222222222222222,0.5294117647058824,0.15343915343915343,0.023255813953488302
P29,0.8636363636363636,0.8636363636363636,0.4634146341463415,0.4318181818181818,0.926829268292683,0.0
P30,0.8095238095238095,0.9,0.4296296296296296,0.6,0.8656084656084656,0.28205128205128205
P31,0.5217391304347826,0.503030303030303,0.4444444444444444,0.503030303030303,0.4347826086956521,0.14527027027027029
