subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.02631578947368421,0.125,0.010025062656641603,-0.03194103194103204
P02,0.6666666666666666,0.5921052631578947,0.3578643578643579,0.3947368421052631,0.7400535971964542,0.10909090909090902
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.7894736842105263,0.8823529411764706,0.4793650793650794,0.5882352941176471,0.8355889724310778,0.41538461538461535
P05,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.1111111111111111,0.06666666666666668,-0.46938775510204067
P06,0.6,0.23529411764705885,0.25806451612903225,0.23529411764705885,0.6580645161290322,-0.025641025641025772
P07,0.3333333333333333,0.18421052631578946,0.25,0.18421052631578946,0.4523809523809524,-0.19512195121951215
P08,0.35,0.2843137254901961,0.1825,0.21323529411764708,0.433,-0.031746031746031855
P09,0.6,0.6458333333333334,0.595959595959596,0.6458333333333334,0.5878787878787879,0.2592592592592593
P10,0.47368421052631576,0.45,0.43452380952380953,0.45,0.5050125313283209,-0.07954545454545459
P11,0.5,0.29411764705882354,0.2222222222222222,0.19607843137254902,0.5666666666666667,-0.1976047904191618
P12,0.47368421052631576,0.3208333333333333,0.30194805194805197,0.3208333333333333,0.4401913875598086,0.12442396313364057
P13,0.07142857142857142,0.08333333333333333,0.07407407407407407,0.05555555555555555,0.09523809523809523,-0.022471910112359605
P14,0.42105263157894735,0.3977272727272727,0.2994152046783625,0.26515151515151514,0.4779316712834718,0.03686635944700456
P15,0.55,0.36111111111111116,0.3802469135802469,0.36111111111111116,0.5244444444444445,0.09999999999999998
P16,0.2,0.15384615384615385,0.1111111111111111,0.07692307692307693,0.28888888888888886,0.04477611940298509
P17,0.23809523809523808,0.12820512820512822,0.12820512820512822,0.12820512820512822,0.23809523809523808,-0.5555555555555554
P18,0.4,0.3463203463203463,0.2619047619047619,0.3463203463203463,0.33214285714285713,0.032258064516129115
P19,0.4,0.4681818181818182,0.4270833333333333,0.4681818181818182,0.3895833333333333,0.13043478260869568
P20,0.42857142857142855,0.26785714285714285,0.1984126984126984,0.26785714285714285,0.40211640211640215,-0.09090909090909083
P21,0.35,0.6068376068376068,0.3322751322751323,0.6068376068376068,0.320952380952381,0.12162162162162171
P22,0.2857142857142857,0.625,0.2074074074074074,0.4166666666666667,0.3915343915343915,0.05405405405405406
P23,0.38095238095238093,0.25,0.13793103448275862,0.25,0.21018062397372742,0.0
P24,0.38095238095238093,0.3333333333333333,0.24222222222222223,0.3333333333333333,0.3892063492063492,-0.022471910112359605
P25,0.38095238095238093,0.2,0.13793103448275862,0.1,0.5254515599343186,-0.04597701149425282
P26,0.19047619047619047,0.12698412698412698,0.10818713450292397,0.12698412698412698,0.16429963798384847,-0.302919708029197
P27,0.22727272727272727,0.24166666666666667,0.16269841269841268,0.18125,0.259018759018759,0.06030150753768859
P28,0.3333333333333333,0.5882352941176471,0.3318181818181818,0.5882352941176471,0.31212121212121213,0.07547169811320753
P29,1.0,1.0,1.0,1.0,1.0,
P30,0.7619047619047619,0.4,0.2882882882882883,0.26666666666666666,0.8236808236808237,-0.050000000000000044
P31,0.43478260869565216,0.3121212121212121,0.2904865649963689,0.3121212121212121,0.40143980297432985,-0.05653710247349819
