,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.051644139674699954,0.11143919170533667,0.09408602150537634,0.02370883752370428,0.047873757751127205,0.09408602150537634,0.021714552702040705,0.0,0.06451612903225806,0.25,0.030303030303030304,0.0,93.0
RandomForest,0.4860438795147586,0.25234081082286836,0.39774534842134457,0.2888676982991329,0.1524245702899518,0.38577076386611486,0.4275382823359475,0.04331818837254262,0.5053763440860215,0.23254985754985755,0.2026406429391504,-0.07191180155349541,93.0
LogisticRegression,0.3944946943839687,0.22643556425020256,0.33874099735667196,0.2331581379874856,0.14442485469180336,0.2817606517468572,0.4079439712810586,0.03511743357305142,0.41935483870967744,0.27146927146927147,0.261183444479729,0.06007860752386307,93.0
XGBoost,0.4288952118065575,0.1995236503691453,0.35440594289528177,0.25619929452120244,0.12947272650911776,0.31787225007008035,0.4090679569178587,-0.01430552068053362,0.5268817204301075,0.30377492877492873,0.3167178276269185,0.06873008648156587,93.0
conformer_fusion,0.39441808120113275,0.20629837692116718,0.3753842570980292,0.24242529591948547,0.12472515418454247,0.3069004925354172,0.3938438112705488,0.031002362551727256,0.3978494623655914,0.2012108262108262,0.1973319473319473,-0.07826086956521738,93.0
tiny_tcn_fusion,0.34402893310031424,0.23294026525701833,0.3147653233391773,0.19050348574181947,0.12173015047635592,0.24917897078869067,0.32585648658653216,-0.010198174388128608,0.34408602150537637,0.17307692307692307,0.17424514737598848,-0.13075543153278835,93.0
bilstm_fusion,0.33036735129080297,0.24496906632151322,0.31426747854329495,0.19752855764089852,0.1378905508387442,0.2591566797467876,0.3248729499106129,0.01550111625653671,0.3548387096774194,0.18767806267806267,0.193521284540702,-0.0714285714285714,93.0
cnn1d_fusion,0.3844081228188411,0.18799006337556165,0.3418644404188197,0.23058988777352005,0.11248712447214425,0.27833486526622947,0.384831740788963,0.0016881253030761243,0.3978494623655914,0.2223239723239723,0.21460983041865395,-0.07470078415187786,93.0
multistream_fusion,0.41193387331646725,0.20626380548255432,0.3728257810301154,0.2766170557298927,0.1832582408096442,0.3263215769189254,0.4212784964708084,,0.46236559139784944,0.275997150997151,0.2787253061589345,0.005772931366260559,93.0
DANN_Conformer,0.382159620437468,0.21042610593224015,0.344975763456114,0.2183896067210344,0.11068367835614994,0.27153250550896113,0.3839803559638578,0.02059116447215314,0.3655913978494624,0.1923076923076923,0.18985849056603774,-0.09981960312687921,93.0
TSTCC,0.36294888481350424,0.2129947457310673,0.34678250456114224,0.21951235033697164,0.15679670453338695,0.2698422870143384,0.37845542399873555,0.048006938322829484,0.3763440860215054,0.18696581196581197,0.19585726004922066,-0.04111175448755078,93.0
Ensemble,0.4481482724193288,0.23688979724058934,0.3935142191995783,0.26568651083071826,0.1544487873926099,0.3352777204513697,0.4251132981343871,0.023224901328701957,0.46236559139784944,0.224002849002849,0.2067581130812981,-0.06480421341882314,93.0
