subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.3333333333333333,0.057971014492753624,0.3333333333333333,0.016563146997929608,0.0
P02,0.09523809523809523,0.05263157894736842,0.06349206349206349,0.03508771929824561,0.17233560090702946,-0.07547169811320775
P03,0.3888888888888889,0.44805194805194803,0.2740740740740741,0.2987012987012987,0.3790123456790124,0.024630541871921263
P04,0.10526315789473684,0.5,0.1,0.25,0.042105263157894736,0.06376811594202902
P05,0.6111111111111112,0.4595959595959596,0.418859649122807,0.4595959595959596,0.594298245614035,0.28409090909090906
P06,0.0,0.0,0.0,0.0,0.0,-0.1428571428571428
P07,0.14285714285714285,0.07894736842105263,0.08333333333333333,0.05263157894736842,0.2261904761904762,-0.1812499999999999
P08,0.85,0.3333333333333333,0.2361111111111111,0.25,0.8027777777777777,0.22077922077922074
P09,0.1,0.08333333333333333,0.07407407407407407,0.05555555555555555,0.13333333333333333,-0.09756097560975618
P10,0.631578947368421,0.75,0.4603174603174603,0.5,0.6791979949874686,0.38990825688073394
P11,0.15,0.5,0.0909090909090909,0.3333333333333333,0.04090909090909091,0.008746355685131157
P12,0.5263157894736842,0.2875,0.25,0.2875,0.4688995215311004,0.19718309859154926
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P14,0.3157894736842105,0.2727272727272727,0.12,0.13636363636363635,0.27789473684210525,-0.1932367149758456
P15,0.5,0.2777777777777778,0.25641025641025644,0.2777777777777778,0.46153846153846156,0.038461538461538325
P16,0.0,0.0,0.0,0.0,0.0,-0.18343195266272194
P17,0.3333333333333333,0.1794871794871795,0.16666666666666666,0.1794871794871795,0.30952380952380953,-0.2894736842105263
P18,0.35,0.2294372294372294,0.20535714285714285,0.17207792207792205,0.40178571428571425,0.07473309608540935
P19,0.25,0.3727272727272727,0.21207264957264957,0.3727272727272727,0.19155982905982907,0.029126213592232997
P20,0.23809523809523808,0.3035714285714286,0.23214285714285715,0.3035714285714286,0.25170068027210885,-0.06666666666666665
P21,0.35,0.1794871794871795,0.18666666666666668,0.1794871794871795,0.36400000000000005,-0.26213592233009697
P22,0.0,0.0,0.0,0.0,0.0,0.0
P23,0.38095238095238093,0.25,0.13793103448275862,0.25,0.21018062397372742,0.0
P24,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333334,0.0
P25,0.5238095238095238,0.275,0.22916666666666666,0.18333333333333335,0.6547619047619048,-0.044776119402985204
P26,0.38095238095238093,0.2222222222222222,0.13793103448275862,0.2222222222222222,0.23645320197044337,-0.0748031496062993
P27,0.3181818181818182,0.5041666666666667,0.2525252525252525,0.378125,0.41643709825528,0.1200000000000001
P28,0.14285714285714285,0.375,0.08333333333333333,0.25,0.047619047619047616,-0.047091412742382266
P29,0.8181818181818182,0.8181818181818182,0.45,0.4090909090909091,0.9,0.0
P30,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.0808823529411764
P31,0.30434782608695654,0.48787878787878797,0.292929292929293,0.48787878787878797,0.27009222661396576,-0.027932960893854775
