subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.2857142857142857,0.5,0.2222222222222222,0.5,0.12698412698412698,0.0
P02,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.21052631578947367,0.5,0.17391304347826086,0.5,0.07322654462242563,0.0
P05,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P06,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
P07,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
P08,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
P09,0.7,0.5,0.4117647058823529,0.5,0.5764705882352941,0.0
P10,0.5263157894736842,0.5,0.3448275862068966,0.5,0.3629764065335753,0.0
P11,0.2,0.5,0.16666666666666666,0.5,0.06666666666666667,0.0
P12,0.5263157894736842,0.5,0.3448275862068966,0.5,0.3629764065335753,0.0
P13,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
P14,0.42105263157894735,0.5,0.2962962962962963,0.5,0.24951267056530213,0.0
P15,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.38095238095238093,0.5,0.27586206896551724,0.5,0.21018062397372742,0.0
P18,0.45,0.5,0.3103448275862069,0.5,0.2793103448275862,0.0
P19,0.7,0.5,0.4117647058823529,0.5,0.5764705882352941,0.0
P20,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P21,0.6,0.5,0.375,0.5,0.45,0.0
P22,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P23,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P24,0.47619047619047616,0.5,0.3225806451612903,0.5,0.3072196620583717,0.0
P25,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
P26,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.4782608695652174,0.5,0.3235294117647059,0.5,0.309462915601023,0.0
