subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.8095238095238095,0.6666666666666666,0.6911764705882353,0.6666666666666666,0.7731092436974789,0.41666666666666674
P02,0.6666666666666666,0.6805555555555556,0.6666666666666666,0.6805555555555556,0.6666666666666666,0.34666666666666657
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.631578947368421,0.5833333333333333,0.5521885521885521,0.5833333333333333,0.6613503455608719,0.130718954248366
P05,0.7222222222222222,0.7083333333333333,0.6989966555183946,0.7083333333333333,0.7268673355629878,0.4
P06,0.45,0.45,0.3103448275862069,0.45,0.3103448275862069,-0.10000000000000009
P07,0.7142857142857143,0.7857142857142857,0.7136363636363636,0.7857142857142857,0.7181818181818181,0.47058823529411764
P08,0.85,0.8500000000000001,0.849624060150376,0.8500000000000001,0.849624060150376,0.7
P09,0.85,0.75,0.7849462365591398,0.75,0.832258064516129,0.5833333333333333
P10,0.7368421052631579,0.7222222222222222,0.7076923076923077,0.7222222222222222,0.7125506072874493,0.4571428571428572
P11,0.2,0.5,0.16666666666666666,0.5,0.06666666666666667,0.0
P12,0.5263157894736842,0.5166666666666666,0.5043478260869565,0.5166666666666666,0.5098398169336384,0.03389830508474578
P13,0.7857142857142857,0.7857142857142857,0.7754010695187166,0.7857142857142857,0.7754010695187166,0.5714285714285714
P14,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9545454545454546,0.9476632758366504,0.8938547486033519
P15,0.95,0.9375,0.9466666666666667,0.9375,0.9493333333333333,0.8936170212765957
P16,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P17,0.7142857142857143,0.7692307692307692,0.7136363636363636,0.7692307692307692,0.7103896103896103,0.47058823529411764
P18,0.7,0.7070707070707071,0.7,0.7070707070707071,0.7,0.40594059405940597
P19,0.3,0.5,0.23076923076923078,0.5,0.13846153846153847,0.0
P20,0.8571428571428571,0.8636363636363636,0.8558352402745995,0.8636363636363636,0.8551814318404707,0.7174887892376681
P21,0.4,0.4583333333333333,0.375,0.4583333333333333,0.35,-0.0714285714285714
P22,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P23,0.47619047619047616,0.2631578947368421,0.3225806451612903,0.2631578947368421,0.5837173579109063,-0.18461538461538485
P24,0.7619047619047619,0.7545454545454545,0.7529411764705882,0.7545454545454545,0.7551820728291316,0.5161290322580645
P25,0.9047619047619048,0.8571428571428572,0.8833333333333333,0.8571428571428572,0.8999999999999999,0.7692307692307692
P26,0.6363636363636364,0.7142857142857143,0.6333333333333333,0.7142857142857143,0.6242424242424243,0.3529411764705882
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.6956521739130435,0.7007575757575758,0.6933333333333334,0.7007575757575758,0.6921739130434783,0.39700374531835203
