subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.5833333333333334,0.693877551020408,0.2222222222222222
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.7368421052631579,0.8333333333333333,0.7076923076923077,0.8333333333333333,0.7611336032388664,0.4571428571428572
P05,0.8888888888888888,0.9166666666666667,0.8831168831168831,0.9166666666666667,0.8917748917748918,0.7692307692307692
P06,0.65,0.65,0.6419437340153453,0.65,0.6419437340153452,0.30000000000000004
P07,0.8571428571428571,0.8928571428571428,0.851764705882353,0.8928571428571428,0.8611764705882353,0.7096774193548387
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.95,0.9166666666666667,0.9373040752351097,0.9166666666666667,0.94858934169279,0.875
P10,0.7894736842105263,0.7777777777777778,0.7738095238095238,0.7777777777777778,0.7769423558897244,0.5681818181818181
P11,0.35,0.59375,0.3483709273182957,0.59375,0.32882205513784457,0.08450704225352113
P12,0.5789473684210527,0.5833333333333333,0.5777777777777777,0.5833333333333333,0.5766081871345029,0.16483516483516492
P13,0.6428571428571429,0.6428571428571428,0.5906432748538011,0.6428571428571428,0.5906432748538012,0.2857142857142857
P14,0.47368421052631576,0.5454545454545454,0.391025641025641,0.5454545454545454,0.35560053981106615,0.07766990291262132
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.8095238095238095,0.8461538461538461,0.8090909090909091,0.8461538461538461,0.8112554112554113,0.631578947368421
P18,0.75,0.7525252525252526,0.7493734335839599,0.7525252525252526,0.7506265664160401,0.5
P19,0.6,0.7142857142857143,0.6,0.7142857142857143,0.6,0.31034482758620696
P20,0.5714285714285714,0.55,0.4457478005865103,0.55,0.4583158776707164,0.10426540284360186
P21,0.5,0.5625,0.4791666666666667,0.5625,0.45833333333333337,0.1071428571428571
P23,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P24,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P25,0.5714285714285714,0.5636363636363637,0.5552941176470588,0.5636363636363637,0.5593277310924369,0.12903225806451613
P26,0.7619047619047619,0.6428571428571428,0.6464646464646464,0.6428571428571428,0.7138047138047138,0.34782608695652173
P27,0.5909090909090909,0.6785714285714286,0.5831578947368421,0.6785714285714286,0.5676555023923445,0.28776978417266186
P29,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P31,0.6521739130434783,0.6628787878787878,0.6349206349206349,0.6628787878787878,0.6314699792960663,0.31851851851851853
