subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6190476190476191,0.43333333333333335,0.38235294117647056,0.43333333333333335,0.5462184873949579,-0.16666666666666652
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.3888888888888889,0.39610389610389607,0.38699690402476783,0.39610389610389607,0.39456484348125215,-0.19277108433734957
P04,0.2631578947368421,0.5333333333333333,0.24431818181818182,0.5333333333333333,0.17523923444976078,0.02919708029197088
P05,0.8888888888888888,0.8333333333333333,0.8615384615384616,0.8333333333333333,0.882051282051282,0.7272727272727273
P06,0.75,0.75,0.7442455242966752,0.75,0.7442455242966752,0.5
P07,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.75,0.5833333333333334,0.5670995670995671,0.5833333333333334,0.6796536796536796,0.21875
P10,0.631578947368421,0.6222222222222222,0.6144927536231883,0.6222222222222222,0.6187643020594965,0.24858757062146897
P11,0.7,0.8125,0.6703296703296704,0.8125,0.7296703296703297,0.4
P12,0.5789473684210527,0.6,0.5128205128205128,0.6,0.5033738191632928,0.19148936170212771
P13,0.6428571428571429,0.6428571428571428,0.625668449197861,0.6428571428571428,0.625668449197861,0.2857142857142857
P14,0.42105263157894735,0.5,0.2962962962962963,0.5,0.24951267056530213,0.0
P15,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8,0.5833333333333333
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.7142857142857143,0.6490384615384616,0.65,0.6490384615384616,0.6857142857142857,0.32978723404255317
P18,0.6,0.5555555555555556,0.4666666666666667,0.5555555555555556,0.49333333333333335,0.120879120879121
P19,0.7,0.5,0.4117647058823529,0.5,0.5764705882352941,0.0
P20,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P21,0.55,0.4791666666666667,0.4357366771159875,0.4791666666666667,0.48652037617554866,-0.04651162790697683
P22,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P23,0.47619047619047616,0.7105263157894737,0.4296296296296296,0.7105263157894737,0.5615520282186949,0.12167300380228152
P24,0.23809523809523808,0.2409090909090909,0.23636363636363636,0.2409090909090909,0.23463203463203466,-0.5135135135135136
P25,0.5238095238095238,0.5357142857142857,0.5138888888888888,0.5357142857142857,0.5370370370370371,0.0625
P26,0.6818181818181818,0.6428571428571428,0.6459770114942529,0.6428571428571428,0.676698014629049,0.29357798165137605
P27,0.5909090909090909,0.6517857142857143,0.5900621118012422,0.6517857142857143,0.5849802371541503,0.2556390977443609
P28,0.43478260869565216,0.45454545454545453,0.30303030303030304,0.45454545454545453,0.2898550724637681,-0.08727272727272739
